Record Length,2500,Points,-809.999997728E-6,4.36079979,,Record Length,2500,Points,-809.999997728E-6,-285.36000848E-3,
Sample Interval,1.000000E-6,s,-808.999990113E-6,4.36079979,,Sample Interval,1.000000E-6,s,-808.999990113E-6,-285.36000848E-3,
Trigger Point,809.999999773,Samples,-807.999982499E-6,4.36079979,,Trigger Point,809.999999773,Samples,-807.999982499E-6,-285.36000848E-3,
,,,-806.999974884E-6,4.36079979,,,,,-806.999974884E-6,-285.36000848E-3,
,,,-806.000025477E-6,4.36079979,,,,,-806.000025477E-6,-285.36000848E-3,
,,,-805.000017863E-6,4.36079979,,,,,-805.000017863E-6,-288.63999248E-3,
Source,CH1,,-804.000010248E-6,4.36079979,,Source,CH2,,-804.000010248E-6,-288.63999248E-3,
Vertical Units,Volts,,-803.000002634E-6,4.36079979,,Vertical Units,Volts,,-803.000002634E-6,-288.63999248E-3,
Vertical Scale,1.3800000,,-801.999995019E-6,4.36079979,,Vertical Scale,82.000001566E-3,,-801.999995019E-6,-288.63999248E-3,
Vertical Offset,0,,-800.999987405E-6,4.36079979,,Vertical Offset,0,,-800.999987405E-6,-291.92000628E-3,
Horizontal Units,s,,-799.999979790E-6,4.36079979,,Horizontal Units,s,,-799.999979790E-6,-291.92000628E-3,
Horizontal Scale,249.99999937E-6,,-798.999972176E-6,4.36079979,,Horizontal Scale,249.99999937E-6,,-798.999972176E-6,-291.92000628E-3,
Pt Fmt,Y,,-798.000022769E-6,4.36079979,,Pt Fmt,Y,,-798.000022769E-6,-291.92000628E-3,
Yzero,0.0,,-797.000015154E-6,4.36079979,,Yzero,-40.00000000E-3,,-797.000015154E-6,-295.20002007E-3,
Probe Atten,10.0000000,,-796.000007540E-6,4.36079979,,Probe Atten,1.000000,,-796.000007540E-6,-295.20002007E-3,
,,,-794.999999925E-6,4.36079979,,,,,-794.999999925E-6,-295.20002007E-3,
Note,TDS 2002 - 18:36:06   06.04.2022,,-793.999992311E-6,4.36079979,,Note,TDS 2002 - 18:36:06   06.04.2022,,-793.999992311E-6,-295.20002007E-3,
,,,-792.999984697E-6,4.36079979,,,,,-792.999984697E-6,-295.20002007E-3,
,,,-791.999977082E-6,4.36079979,,,,,-791.999977082E-6,-298.48000407E-3,
,,,-790.999969468E-6,4.36079979,,,,,-790.999969468E-6,-298.48000407E-3,
,,,-790.000020061E-6,4.36079979,,,,,-790.000020061E-6,-298.48000407E-3,
,,,-789.000012446E-6,4.36079979,,,,,-789.000012446E-6,-298.48000407E-3,
,,,-788.000004832E-6,4.36079979,,,,,-788.000004832E-6,-301.76001787E-3,
,,,-786.999997217E-6,4.36079979,,,,,-786.999997217E-6,-301.76001787E-3,
,,,-785.999989603E-6,4.36079979,,,,,-785.999989603E-6,-301.76001787E-3,
,,,-784.999981988E-6,4.30560017,,,,,-784.999981988E-6,-301.76001787E-3,
,,,-783.999974374E-6,4.30560017,,,,,-783.999974374E-6,-301.76001787E-3,
,,,-783.000024967E-6,4.30560017,,,,,-783.000024967E-6,-301.76001787E-3,
,,,-782.000017352E-6,4.30560017,,,,,-782.000017352E-6,-305.04000187E-3,
,,,-781.000009738E-6,4.30560017,,,,,-781.000009738E-6,-305.04000187E-3,
,,,-780.000002123E-6,4.30560017,,,,,-780.000002123E-6,-305.04000187E-3,
,,,-778.999994509E-6,4.30560017,,,,,-778.999994509E-6,-305.04000187E-3,
,,,-777.999986894E-6,4.30560017,,,,,-777.999986894E-6,-305.04000187E-3,
,,,-776.999979280E-6,4.30560017,,,,,-776.999979280E-6,-305.04000187E-3,
,,,-775.999971665E-6,4.30560017,,,,,-775.999971665E-6,-308.32001567E-3,
,,,-775.000022259E-6,4.30560017,,,,,-775.000022259E-6,-308.32001567E-3,
,,,-774.000014644E-6,4.30560017,,,,,-774.000014644E-6,-308.32001567E-3,
,,,-773.000007030E-6,4.30560017,,,,,-773.000007030E-6,-308.32001567E-3,
,,,-771.999999415E-6,4.30560017,,,,,-771.999999415E-6,-308.32001567E-3,
,,,-770.999991801E-6,4.30560017,,,,,-770.999991801E-6,-308.32001567E-3,
,,,-769.999984186E-6,4.30560017,,,,,-769.999984186E-6,-308.32001567E-3,
,,,-768.999976572E-6,4.30560017,,,,,-768.999976572E-6,-308.32001567E-3,
,,,-767.999968957E-6,4.30560017,,,,,-767.999968957E-6,-308.32001567E-3,
,,,-767.000019550E-6,4.30560017,,,,,-767.000019550E-6,-308.32001567E-3,
,,,-766.000011936E-6,4.30560017,,,,,-766.000011936E-6,-308.32001567E-3,
,,,-765.000004321E-6,4.30560017,,,,,-765.000004321E-6,-311.59999967E-3,
,,,-763.999996707E-6,4.30560017,,,,,-763.999996707E-6,-311.59999967E-3,
,,,-762.999989092E-6,4.30560017,,,,,-762.999989092E-6,-311.59999967E-3,
,,,-761.999981478E-6,4.30560017,,,,,-761.999981478E-6,-311.59999967E-3,
,,,-760.999973863E-6,4.30560017,,,,,-760.999973863E-6,-311.59999967E-3,
,,,-760.000024457E-6,4.30560017,,,,,-760.000024457E-6,-311.59999967E-3,
,,,-759.000016842E-6,4.30560017,,,,,-759.000016842E-6,-311.59999967E-3,
,,,-758.000009228E-6,4.30560017,,,,,-758.000009228E-6,-311.59999967E-3,
,,,-757.000001613E-6,4.30560017,,,,,-757.000001613E-6,-311.59999967E-3,
,,,-755.999993999E-6,4.30560017,,,,,-755.999993999E-6,-311.59999967E-3,
,,,-754.999986384E-6,4.25040007,,,,,-754.999986384E-6,-311.59999967E-3,
