x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-20.42500E-03,+13.41143E-03,+1.25114626E+00,-8.02450E-03,+14.51044295E+00
-20.40000E-03,+13.55214E-03,+1.16722666E+00,-8.02450E-03,+14.49788014E+00
-20.37500E-03,+13.55214E-03,+1.05315625E+00,-8.02450E-03,+14.47275451E+00
-20.35000E-03,+13.55214E-03,+974.26183E-03,-8.02450E-03,+14.47275451E+00
-20.32500E-03,+13.55214E-03,+840.09098E-03,-8.02450E-03,+14.46019170E+00
-20.30000E-03,+13.55214E-03,+767.72922E-03,-7.98430E-03,+14.44863385E+00
-20.27500E-03,+13.55214E-03,+650.14117E-03,-8.02450E-03,+14.43506607E+00
-20.25000E-03,+13.55214E-03,+563.20655E-03,-8.02450E-03,+14.40240269E+00
-20.22500E-03,+13.55214E-03,+441.59851E-03,-8.02450E-03,+14.37225200E+00
-20.20000E-03,+13.55214E-03,+373.75937E-03,-8.02450E-03,+14.34360872E+00
-20.17500E-03,+13.55214E-03,+261.19649E-03,-8.02450E-03,+14.30943793E+00
-20.15000E-03,+13.55214E-03,+189.33725E-03,-8.02450E-03,+14.28431230E+00
-20.12500E-03,+13.55214E-03,+115.97042E-03,-8.02450E-03,+14.27174948E+00
-20.10000E-03,+13.55214E-03,+30.04077E-03,-8.02450E-03,+14.25918667E+00
-20.07500E-03,+13.55214E-03,+12.95540E-03,-8.02450E-03,+14.24662386E+00
-20.05000E-03,+13.55214E-03,+392.59E-06,-8.02450E-03,+14.22149823E+00
-20.02500E-03,+13.55214E-03,+392.59E-06,-8.02450E-03,+14.18179967E+00
-20.00000E-03,+13.55214E-03,-12.17023E-03,-8.02450E-03,+14.15868409E+00
-19.97500E-03,+13.55214E-03,-12.17023E-03,-8.02450E-03,+14.12099571E+00
-19.95000E-03,+13.55214E-03,-12.17023E-03,-8.02450E-03,+14.09989012E+00
-19.92500E-03,+13.55214E-03,-24.73304E-03,-8.02450E-03,+14.08330727E+00
-19.90000E-03,+13.55214E-03,-24.73304E-03,-8.02450E-03,+14.07074446E+00
-19.87500E-03,+13.55214E-03,-37.29585E-03,-8.02450E-03,+14.05818164E+00
-19.85000E-03,+13.55214E-03,-49.85867E-03,-8.02450E-03,+14.04561883E+00
-19.82500E-03,+13.55214E-03,-73.47683E-03,-8.02450E-03,+14.03305601E+00
-19.80000E-03,+13.04962E-03,-164.93426E-03,-8.02450E-03,+14.02049320E+00
-19.77500E-03,+13.04962E-03,-266.44187E-03,-8.02450E-03,+13.99536757E+00
-19.75000E-03,+12.54711E-03,-424.23068E-03,-8.02450E-03,+13.96521674E+00
-19.72500E-03,+12.54711E-03,-583.52716E-03,-8.02450E-03,+13.93255350E+00
-19.70000E-03,+12.54711E-03,-733.27613E-03,-8.02450E-03,+13.90742787E+00
-19.67500E-03,+12.54711E-03,-899.10528E-03,-8.02450E-03,+13.89486506E+00
-19.65000E-03,+12.54711E-03,-1.04583880E+00,-8.02450E-03,+13.86973943E+00
-19.62500E-03,+12.54711E-03,-1.23327592E+00,-8.32601E-03,+13.86220166E+00
-19.60000E-03,+12.54711E-03,-1.40513522E+00,-8.02450E-03,+13.84461380E+00
-19.57500E-03,+12.68782E-03,-1.56794937E+00,-8.02450E-03,+13.83205099E+00
-19.55000E-03,+12.54711E-03,-1.66392935E+00,-8.02450E-03,+13.80692536E+00
-19.52500E-03,+12.54711E-03,-1.82021060E+00,-8.02450E-03,+13.76973935E+00
-19.50000E-03,+12.54711E-03,-1.98955742E+00,-8.02450E-03,+13.74411129E+00
-19.47500E-03,+12.54711E-03,-2.16744695E+00,-8.02450E-03,+13.71898566E+00
-19.45000E-03,+12.78832E-03,-2.29759771E+00,-8.02450E-03,+13.69386003E+00
-19.42500E-03,+13.04962E-03,-2.42825073E+00,-8.02450E-03,+13.67727703E+00
-19.40000E-03,+12.54711E-03,-2.54332628E+00,-8.02450E-03,+13.66672427E+00
-19.37500E-03,+13.04962E-03,-2.62523574E+00,-8.02450E-03,+13.64360878E+00
-19.35000E-03,+12.96922E-03,-2.74483382E+00,-8.02450E-03,+13.63104596E+00
-19.32500E-03,+12.70791E-03,-2.83478340E+00,-8.02450E-03,+13.60592033E+00
-19.30000E-03,+12.54711E-03,-2.99005987E+00,-8.02450E-03,+13.57426195E+00
-19.27500E-03,+13.04962E-03,-3.07397947E+00,-8.02450E-03,+13.53858356E+00
-19.25000E-03,+12.54711E-03,-3.20563768E+00,-8.02450E-03,+13.51546798E+00
-19.22500E-03,+13.04962E-03,-3.30563794E+00,-8.02450E-03,+13.49235240E+00
-19.20000E-03,+12.54711E-03,-3.42774823E+00,-8.02450E-03,+13.46923682E+00
-19.17500E-03,+12.54711E-03,-3.53176852E+00,-8.02450E-03,+13.46772938E+00
-19.15000E-03,+12.54711E-03,-3.64433124E+00,-8.02450E-03,+13.44260375E+00
-19.12500E-03,+12.74812E-03,-3.77850210E+00,-8.02450E-03,+13.43004093E+00
-19.10000E-03,+12.54711E-03,-3.86543687E+00,-8.02450E-03,+13.40491531E+00
-19.07500E-03,+13.04962E-03,-4.03327588E+00,-8.02450E-03,+13.37978968E+00
-19.05000E-03,+13.04962E-03,-4.18000974E+00,-8.02450E-03,+13.35466405E+00
-19.02500E-03,+13.04962E-03,-4.28704492E+00,-8.02450E-03,+13.31999059E+00
-19.00000E-03,+12.54711E-03,-4.42925578E+00,-8.02450E-03,+13.29184998E+00
-18.97500E-03,+12.82851E-03,-4.56392935E+00,-8.02450E-03,+13.27375943E+00
-18.95000E-03,+13.04962E-03,-4.68704502E+00,-8.02450E-03,+13.26672435E+00
-18.92500E-03,+12.60742E-03,-4.83930614E+00,-8.02450E-03,+13.25416154E+00
-18.90000E-03,+13.04962E-03,-5.01066302E+00,-8.02450E-03,+13.25416154E+00
-18.87500E-03,+13.04962E-03,-5.18805016E+00,-8.02450E-03,+13.23154837E+00
-18.85000E-03,+13.04962E-03,-5.30362806E+00,-8.02450E-03,+13.20843279E+00
-18.82500E-03,+13.04962E-03,-5.46995952E+00,-8.02450E-03,+13.18531721E+00
-18.80000E-03,+13.04962E-03,-5.63980877E+00,-8.02450E-03,+13.15365902E+00
-18.77500E-03,+13.04962E-03,-5.80965802E+00,-8.02450E-03,+13.12652324E+00
