x-axis,F1
second,Volt
-22.10000E-03,-6.57189941E+00
-22.07500E-03,-6.65646973E+00
-22.05000E-03,-6.80749512E+00
-22.02500E-03,-6.96638185E+00
-22.00000E-03,-7.08288576E+00
-21.97500E-03,-7.21423340E+00
-21.95000E-03,-7.38049317E+00
-21.92500E-03,-7.50100100E+00
-21.90000E-03,-7.62292482E+00
-21.87500E-03,-7.80700684E+00
-21.85000E-03,-7.97355960E+00
-21.82500E-03,-8.11179204E+00
-21.80000E-03,-8.23229982E+00
-21.77500E-03,-8.40339358E+00
-21.75000E-03,-8.59704591E+00
-21.72500E-03,-8.77111819E+00
-21.70000E-03,-8.88864751E+00
-21.67500E-03,-9.04763188E+00
-21.65000E-03,-9.21520997E+00
-21.62500E-03,-9.38781740E+00
-21.60000E-03,-9.54509284E+00
-21.57500E-03,-9.70051278E+00
-21.55000E-03,-9.83142093E+00
-21.52500E-03,-10.00593264E+00
-21.50000E-03,-10.17590340E+00
-21.47500E-03,-10.32395029E+00
-21.45000E-03,-10.43234869E+00
-21.42500E-03,-10.59792483E+00
-21.40000E-03,-10.75734874E+00
-21.37500E-03,-10.86218271E+00
-21.35000E-03,-11.00529788E+00
-21.32500E-03,-11.13425303E+00
-21.30000E-03,-11.21423342E+00
-21.27500E-03,-11.31843272E+00
-21.25000E-03,-11.39709473E+00
-21.22500E-03,-11.46672372E+00
-21.20000E-03,-11.58117679E+00
-21.17500E-03,-11.64895031E+00
-21.15000E-03,-11.80231937E+00
-21.12500E-03,-11.88806170E+00
-21.10000E-03,-12.02482920E+00
-21.07500E-03,-12.20676279E+00
-21.05000E-03,-12.40090342E+00
-21.02500E-03,-12.60041511E+00
-21.00000E-03,-12.81848158E+00
-20.97500E-03,-13.04216329E+00
-20.95000E-03,-13.26926294E+00
-20.92500E-03,-13.51774928E+00
-20.90000E-03,-13.71608913E+00
-20.87500E-03,-13.94494652E+00
-20.85000E-03,-14.12619656E+00
-20.82500E-03,-14.28757352E+00
-20.80000E-03,-14.45915552E+00
-20.77500E-03,-14.63708504E+00
-20.75000E-03,-14.81115727E+00
-20.72500E-03,-14.98259294E+00
-20.70000E-03,-15.13117698E+00
-20.67500E-03,-15.28420432E+00
-20.65000E-03,-15.42028822E+00
-20.62500E-03,-15.58898940E+00
-20.60000E-03,-15.75871596E+00
-20.57500E-03,-15.87717299E+00
-20.55000E-03,-16.02136235E+00
-20.52500E-03,-16.17834487E+00
-20.50000E-03,-16.27526875E+00
-20.47500E-03,-16.41589360E+00
-20.45000E-03,-16.54611837E+00
-20.42500E-03,-16.63317881E+00
-20.40000E-03,-16.79162608E+00
-20.37500E-03,-16.84509283E+00
-20.35000E-03,-16.99328619E+00
-20.32500E-03,-17.04245617E+00
-20.30000E-03,-17.18752458E+00
-20.27500E-03,-17.24694835E+00
-20.25000E-03,-17.38586431E+00
-20.22500E-03,-17.43933117E+00
-20.20000E-03,-17.57336437E+00
-20.17500E-03,-17.62878418E+00
-20.15000E-03,-17.73957538E+00
