x-axis,1,2,3,4
second,Volt,Volt,Ampere,Volt
-22.10000E-03,+1.15225E-03,+10.71948815E+00,-56.65E-06,+17.95818167E+00
-22.07500E-03,+1.13255E-03,+10.60190020E+00,-58.82E-06,+17.95265403E+00
-22.05000E-03,+1.12290E-03,+10.44963890E+00,-61.28E-06,+17.95265403E+00
-22.02500E-03,+1.11687E-03,+10.32853336E+00,-59.35E-06,+17.95315654E+00
-22.00000E-03,+1.12732E-03,+10.18632230E+00,-62.88E-06,+17.95516659E+00
-21.97500E-03,+1.12250E-03,+10.03456351E+00,-60.51E-06,+17.96069424E+00
-21.95000E-03,+1.10039E-03,+9.88179969E+00,-59.31E-06,+17.95868419E+00
-21.92500E-03,+1.12170E-03,+9.75818159E+00,-57.66E-06,+17.95667414E+00
-21.90000E-03,+1.09677E-03,+9.60290520E+00,-56.41E-06,+17.95265403E+00
-21.87500E-03,+1.09516E-03,+9.43506601E+00,-53.23E-06,+17.95265403E+00
-21.85000E-03,+1.11366E-03,+9.27978961E+00,-64.01E-06,+17.95265403E+00
-21.82500E-03,+1.09516E-03,+9.13707604E+00,-63.33E-06,+17.95265403E+00
-21.80000E-03,+1.10039E-03,+8.98833233E+00,-63.77E-06,+17.95265403E+00
-21.77500E-03,+1.09155E-03,+8.83556852E+00,-60.63E-06,+17.95717666E+00
-21.75000E-03,+1.08913E-03,+8.66370922E+00,-62.68E-06,+17.96270428E+00
-21.72500E-03,+1.08552E-03,+8.52853331E+00,-59.27E-06,+17.95265403E+00
-21.70000E-03,+1.10280E-03,+8.39536750E+00,-59.79E-06,+17.95265403E+00
-21.67500E-03,+1.09959E-03,+8.23255344E+00,-59.59E-06,+17.95265403E+00
-21.65000E-03,+1.10642E-03,+8.06973934E+00,-61.40E-06,+17.95265403E+00
-21.62500E-03,+1.10320E-03,+7.93255339E+00,-61.48E-06,+17.95265403E+00
-21.60000E-03,+1.08270E-03,+7.78983982E+00,-62.84E-06,+17.95265403E+00
-21.57500E-03,+1.08511E-03,+7.62401071E+00,-60.67E-06,+17.95265403E+00
-21.55000E-03,+1.07747E-03,+7.45315641E+00,-57.30E-06,+17.95265403E+00
-21.52500E-03,+1.07989E-03,+7.31144785E+00,-60.99E-06,+17.95265403E+00
-21.50000E-03,+1.08511E-03,+7.20391021E+00,-57.86E-06,+17.94511633E+00
-21.47500E-03,+1.09275E-03,+7.04963884E+00,-58.34E-06,+17.95265403E+00
-21.45000E-03,+1.08351E-03,+6.95868402E+00,-57.09E-06,+17.95265403E+00
-21.42500E-03,+1.08632E-03,+6.83305594E+00,-57.98E-06,+17.95114648E+00
-21.40000E-03,+1.09476E-03,+6.76069408E+00,-62.04E-06,+17.95265403E+00
-21.37500E-03,+1.08511E-03,+6.62853328E+00,-62.08E-06,+17.95265403E+00
-21.35000E-03,+1.08873E-03,+6.48833224E+00,-58.50E-06,+17.94009122E+00
-21.32500E-03,+1.08471E-03,+6.41999063E+00,-58.30E-06,+17.94009122E+00
-21.30000E-03,+1.07828E-03,+6.32853324E+00,-55.24E-06,+17.95265403E+00
-21.27500E-03,+1.09195E-03,+6.22752826E+00,-58.62E-06,+17.95064396E+00
-21.25000E-03,+1.08511E-03,+6.08079459E+00,-55.24E-06,+17.95265403E+00
-21.22500E-03,+1.06823E-03,+5.97375939E+00,-60.15E-06,+17.95265403E+00
-21.20000E-03,+1.04491E-03,+5.81245288E+00,-58.62E-06,+17.95265403E+00
-21.17500E-03,+1.05496E-03,+5.63406089E+00,-60.43E-06,+17.95265403E+00
-21.15000E-03,+1.03768E-03,+5.42200055E+00,-57.90E-06,+17.95265403E+00
-21.12500E-03,+1.03888E-03,+5.21898550E+00,-63.69E-06,+17.95265403E+00
-21.10000E-03,+1.05376E-03,+5.01094527E+00,-58.30E-06,+17.95265403E+00
-21.07500E-03,+1.02602E-03,+4.78029200E+00,-57.74E-06,+17.95114653E+00
