x-axis,F1
second,Volt
-17.82500E-03,-10.66076673E+00
-17.80000E-03,-10.74450709E+00
-17.77500E-03,-10.79650879E+00
-17.75000E-03,-10.84167494E+00
-17.72500E-03,-10.97082546E+00
-17.70000E-03,-11.02917507E+00
-17.67500E-03,-11.18615736E+00
-17.65000E-03,-11.24548380E+00
-17.62500E-03,-11.39465345E+00
-17.60000E-03,-11.56706598E+00
-17.57500E-03,-11.69650962E+00
-17.55000E-03,-11.83913630E+00
-17.52500E-03,-12.00373578E+00
-17.50000E-03,-12.17346205E+00
-17.47500E-03,-12.35734892E+00
-17.45000E-03,-12.51999569E+00
-17.42500E-03,-12.68132397E+00
-17.40000E-03,-12.81350185E+00
-17.37500E-03,-12.97204648E+00
-17.35000E-03,-13.12590376E+00
-17.32500E-03,-13.29148022E+00
-17.30000E-03,-13.40725171E+00
-17.27500E-03,-13.51350128E+00
-17.25000E-03,-13.68469267E+00
-17.22500E-03,-13.82487853E+00
-17.20000E-03,-13.92917541E+00
-17.17500E-03,-14.07434097E+00
-17.15000E-03,-14.19509370E+00
-17.12500E-03,-14.27795440E+00
-17.10000E-03,-14.42956588E+00
-17.07500E-03,-14.49851121E+00
-17.05000E-03,-14.62878448E+00
-17.02500E-03,-14.66315935E+00
-17.00000E-03,-14.77087435E+00
-16.97500E-03,-14.84167511E+00
-16.95000E-03,-14.88195816E+00
-16.92500E-03,-14.95485857E+00
-16.90000E-03,-15.01599137E+00
-16.87500E-03,-15.05065935E+00
-16.85000E-03,-15.11003451E+00
-16.82500E-03,-15.17248551E+00
-16.80000E-03,-15.22058121E+00
-16.77500E-03,-15.25568865E+00
-16.75000E-03,-15.34387241E+00
-16.72500E-03,-15.41442871E+00
-16.70000E-03,-15.43737809E+00
-16.67500E-03,-15.50393117E+00
-16.65000E-03,-15.59045443E+00
-16.62500E-03,-15.63171403E+00
-16.60000E-03,-15.71037649E+00
-16.57500E-03,-15.81579606E+00
-16.55000E-03,-15.87502476E+00
-16.52500E-03,-15.99865739E+00
-16.50000E-03,-16.07971225E+00
-16.47500E-03,-16.19494646E+00
-16.45000E-03,-16.24680211E+00
-16.42500E-03,-16.37902849E+00
-16.40000E-03,-16.43884312E+00
-16.37500E-03,-16.57019096E+00
-16.35000E-03,-16.63122593E+00
-16.32500E-03,-16.75827691E+00
-16.30000E-03,-16.84011284E+00
-16.27500E-03,-16.96984898E+00
-16.25000E-03,-17.04040564E+00
-16.22500E-03,-17.17229059E+00
-16.20000E-03,-17.22448748E+00
-16.17500E-03,-17.32253473E+00
-16.15000E-03,-17.40778828E+00
-16.12500E-03,-17.46057185E+00
-16.10000E-03,-17.56750524E+00
-16.07500E-03,-17.60168475E+00
-16.05000E-03,-17.67541522E+00
-16.02500E-03,-17.77893066E+00
-16.00000E-03,-17.80871602E+00
-15.97500E-03,-17.87268103E+00
-15.95000E-03,-17.95349121E+00
-15.92500E-03,-17.99035663E+00
-15.90000E-03,-18.01374532E+00
-15.87500E-03,-18.05676309E+00
-15.85000E-03,-18.11491739E+00
-15.82500E-03,-18.17395057E+00
-15.80000E-03,-18.20373535E+00
-15.77500E-03,-18.22888203E+00
-15.75000E-03,-18.26452658E+00
-15.72500E-03,-18.30803263E+00
-15.70000E-03,-18.32897988E+00
-15.67500E-03,-18.34997539E+00
-15.65000E-03,-18.35388184E+00
-15.62500E-03,-18.36730936E+00
-15.60000E-03,-18.35388184E+00
-15.57500E-03,-18.36301291E+00
-15.55000E-03,-18.37365742E+00
-15.52500E-03,-18.37512187E+00
-15.50000E-03,-18.37707500E+00
-15.47500E-03,-18.38000508E+00
-15.45000E-03,-18.37951660E+00
-15.42500E-03,-18.39172363E+00
-15.40000E-03,-18.38488749E+00
-15.37500E-03,-18.39172363E+00
-15.35000E-03,-18.40100077E+00
-15.32500E-03,-18.40393066E+00
-15.30000E-03,-18.40393066E+00
-15.27500E-03,-18.40393066E+00
-15.25000E-03,-18.41735840E+00
-15.22500E-03,-18.42810100E+00
-15.20000E-03,-18.42956543E+00
-15.17500E-03,-18.44323751E+00
-15.15000E-03,-18.45349142E+00
-15.12500E-03,-18.46472191E+00
-15.10000E-03,-18.47961426E+00
-15.07500E-03,-18.47961426E+00
-15.05000E-03,-18.49182129E+00
-15.02500E-03,-18.50012165E+00
-15.00000E-03,-18.50402811E+00
-14.97500E-03,-18.50617652E+00
-14.95000E-03,-18.50832496E+00
-14.92500E-03,-18.52380393E+00
-14.90000E-03,-18.52966309E+00
-14.87500E-03,-18.51745605E+00
-14.85000E-03,-18.54138162E+00
-14.82500E-03,-18.52966309E+00
-14.80000E-03,-18.54187012E+00
-14.77500E-03,-18.54187012E+00
-14.75000E-03,-18.54187012E+00
-14.72500E-03,-18.52966309E+00
-14.70000E-03,-18.54187012E+00
-14.67500E-03,-18.54187012E+00
-14.65000E-03,-18.55114768E+00
-14.62500E-03,-18.54919456E+00
-14.60000E-03,-18.55407715E+00
-14.57500E-03,-18.55407715E+00
