x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-22.10000E-03,+530.41300E-03,+10.05767910E+00,+473.25533E-03,+9.22853336E+00
-22.07500E-03,+520.61400E-03,+9.94863387E+00,+462.90358E-03,+9.11044291E+00
-22.05000E-03,+507.19692E-03,+9.84662382E+00,+450.44126E-03,+9.03004090E+00
-22.02500E-03,+495.08636E-03,+9.73808110E+00,+438.58197E-03,+8.89637255E+00
-22.00000E-03,+480.61400E-03,+9.62853336E+00,+422.65232E-03,+8.81195044E+00
-21.97500E-03,+466.14164E-03,+9.49436250E+00,+407.62719E-03,+8.66521677E+00
-21.95000E-03,+449.15671E-03,+9.41647306E+00,+395.26538E-03,+8.58782983E+00
-21.92500E-03,+434.68435E-03,+9.27627205E+00,+378.23021E-03,+8.44712631E+00
-21.90000E-03,+420.01099E-03,+9.18833233E+00,+361.44629E-03,+8.32350821E+00
-21.87500E-03,+403.22707E-03,+9.04561877E+00,+343.00408E-03,+8.22903585E+00
-21.85000E-03,+386.24214E-03,+8.91345796E+00,+324.96388E-03,+8.08431223E+00
-21.82500E-03,+367.14666E-03,+8.80240269E+00,+309.43624E-03,+7.96471423E+00
-21.80000E-03,+350.41300E-03,+8.66823183E+00,+290.74277E-03,+7.82652328E+00
-21.77500E-03,+335.28737E-03,+8.55466398E+00,+275.41614E-03,+7.67978961E+00
-21.75000E-03,+319.30747E-03,+8.42501575E+00,+258.07945E-03,+7.59335744E+00
-21.72500E-03,+302.62405E-03,+8.26571926E+00,+241.19503E-03,+7.44913634E+00
-21.70000E-03,+288.10144E-03,+8.17074437E+00,+229.28548E-03,+7.31798053E+00
-21.67500E-03,+276.14164E-03,+8.03154842E+00,+215.01413E-03,+7.21496550E+00
-21.65000E-03,+261.82003E-03,+7.89385994E+00,+200.89353E-03,+7.05918658E+00
-21.62500E-03,+247.69943E-03,+7.77928709E+00,+187.47644E-03,+6.94511622E+00
-21.60000E-03,+233.98083E-03,+7.63255342E+00,+173.75785E-03,+6.81898559E+00
-21.57500E-03,+219.60898E-03,+7.49737752E+00,+160.64227E-03,+6.68079460E+00
-21.55000E-03,+207.44817E-03,+7.37677452E+00,+149.73775E-03,+6.59788004E+00
-21.52500E-03,+199.05621E-03,+7.23958861E+00,+139.78800E-03,+6.43556850E+00
-21.50000E-03,+190.66425E-03,+7.13104583E+00,+130.44126E-03,+6.32200062E+00
-21.47500E-03,+184.08134E-03,+7.01747805E+00,+121.34579E-03,+6.22049310E+00
-21.45000E-03,+179.25722E-03,+6.89938756E+00,+118.12971E-03,+6.08280463E+00
-21.42500E-03,+175.84014E-03,+6.82049312E+00,+114.36087E-03,+6.00240264E+00
-21.40000E-03,+174.58385E-03,+6.68581969E+00,+111.89855E-03,+5.85617146E+00
-21.37500E-03,+173.32757E-03,+6.56571920E+00,+111.84830E-03,+5.79436246E+00
