x-axis,1,2,3
second,Volt,Volt,Volt
+6.500E-03,+535.883E-03,-78.248E-03,+891.057E-03
+6.600E-03,+496.486E-03,-80.761E-03,+891.057E-03
+6.700E-03,+439.300E-03,-83.273E-03,+889.801E-03
+6.800E-03,+376.486E-03,-83.273E-03,+889.801E-03
+6.900E-03,+313.671E-03,-83.273E-03,+888.544E-03
+7.000E-03,+261.008E-03,-83.273E-03,+889.801E-03
+7.100E-03,+218.194E-03,-80.761E-03,+888.544E-03
+7.200E-03,+182.817E-03,-80.761E-03,+888.544E-03
+7.300E-03,+153.370E-03,-83.273E-03,+887.690E-03
+7.400E-03,+116.486E-03,-81.163E-03,+888.544E-03
+7.500E-03,+77.089E-03,-80.761E-03,+887.288E-03
+7.600E-03,+38.496E-03,-83.273E-03,+888.343E-03
+7.700E-03,-97E-06,-80.761E-03,+887.288E-03
+7.800E-03,-28.640E-03,-79.555E-03,+886.032E-03
+7.900E-03,-52.861E-03,-78.248E-03,+885.579E-03
+8.000E-03,-72.158E-03,-75.736E-03,+884.775E-03
+8.100E-03,-83.916E-03,-75.836E-03,+884.775E-03
+8.200E-03,-110.148E-03,-80.459E-03,+883.670E-03
+8.300E-03,-145.525E-03,-81.464E-03,+883.167E-03
+8.400E-03,-196.278E-03,-80.761E-03,+884.775E-03
+8.500E-03,-234.469E-03,-80.761E-03,+882.263E-03
+8.600E-03,-271.454E-03,-80.158E-03,+881.007E-03
+8.700E-03,-292.660E-03,-78.248E-03,+880.906E-03
+8.800E-03,-311.957E-03,-75.937E-03,+879.750E-03
+8.900E-03,-324.318E-03,-73.223E-03,+880.705E-03
+9.000E-03,-331.454E-03,-74.731E-03,+878.494E-03
+9.100E-03,-345.826E-03,-75.736E-03,+879.198E-03
+9.200E-03,-364.017E-03,-75.736E-03,+878.846E-03
+9.300E-03,-383.615E-03,-78.248E-03,+878.494E-03
+9.400E-03,-410.047E-03,-80.761E-03,+878.494E-03
+9.500E-03,-449.042E-03,-81.263E-03,+877.238E-03
+9.600E-03,-490.550E-03,-80.761E-03,+876.434E-03
+9.700E-03,-532.057E-03,-83.273E-03,+877.841E-03
+9.800E-03,-566.932E-03,-80.761E-03,+877.238E-03
+9.900E-03,-597.484E-03,-78.248E-03,+875.981E-03
+10.000E-03,-613.866E-03,-78.248E-03,+875.981E-03
+10.100E-03,-642.409E-03,-78.248E-03,+874.725E-03
+10.200E-03,-661.705E-03,-78.248E-03,+874.725E-03
+10.300E-03,-689.344E-03,-80.761E-03,+875.981E-03
+10.400E-03,-722.107E-03,-78.248E-03,+874.725E-03
+10.500E-03,-759.092E-03,-80.761E-03,+874.725E-03
+10.600E-03,-805.324E-03,-80.861E-03,+874.725E-03
+10.700E-03,-854.168E-03,-83.273E-03,+874.574E-03
+10.800E-03,-912.258E-03,-83.273E-03,+873.469E-03
+10.900E-03,-971.253E-03,-84.379E-03,+874.172E-03
+11.000E-03,-1.023916E+00,-83.273E-03,+873.469E-03
+11.100E-03,-1.076680E+00,-83.273E-03,+872.213E-03
+11.200E-03,-1.124519E+00,-83.072E-03,+872.213E-03
+11.300E-03,-1.158288E+00,-80.761E-03,+872.213E-03
+11.400E-03,-1.177987E+00,-78.248E-03,+872.213E-03
+11.500E-03,-1.206329E+00,-79.756E-03,+871.459E-03
+11.600E-03,-1.236077E+00,-80.761E-03,+872.213E-03
+11.700E-03,-1.288238E+00,-83.273E-03,+872.213E-03
+11.800E-03,-1.352158E+00,-85.786E-03,+872.062E-03
+11.900E-03,-1.424821E+00,-85.786E-03,+870.956E-03
+12.000E-03,-1.502308E+00,-85.786E-03,+870.956E-03
+12.100E-03,-1.562308E+00,-84.178E-03,+870.956E-03
+12.200E-03,-1.613766E+00,-83.273E-03,+870.956E-03
+12.300E-03,-1.648138E+00,-79.957E-03,+870.956E-03
+12.400E-03,-1.662409E+00,-75.736E-03,+870.956E-03
+12.500E-03,-1.679193E+00,-75.736E-03,+870.956E-03
+12.600E-03,-1.693866E+00,-78.248E-03,+870.956E-03
+12.700E-03,-1.721203E+00,-80.761E-03,+870.956E-03
+12.800E-03,-1.757384E+00,-82.067E-03,+870.956E-03
+12.900E-03,-1.801806E+00,-80.761E-03,+870.956E-03
+13.000E-03,-1.851052E+00,-81.263E-03,+870.956E-03
+13.100E-03,-1.890550E+00,-83.173E-03,+870.956E-03
+13.200E-03,-1.929243E+00,-80.761E-03,+870.806E-03
+13.300E-03,-1.955977E+00,-78.248E-03,+869.700E-03
+13.400E-03,-1.972057E+00,-75.736E-03,+869.700E-03
+13.500E-03,-1.975675E+00,-72.218E-03,+870.956E-03
+13.600E-03,-1.975675E+00,-68.198E-03,+869.700E-03
+13.700E-03,-1.975474E+00,-65.685E-03,+869.700E-03
+13.800E-03,-1.973163E+00,-65.484E-03,+869.700E-03
+13.900E-03,-1.973163E+00,-65.082E-03,+869.700E-03
+14.000E-03,-1.975675E+00,-65.685E-03,+868.946E-03
+14.100E-03,-1.978188E+00,-65.685E-03,+869.147E-03
+14.200E-03,-1.980700E+00,-68.198E-03,+868.444E-03
+14.300E-03,-1.980700E+00,-65.685E-03,+868.444E-03
+14.400E-03,-1.983213E+00,-68.198E-03,+868.444E-03
+14.500E-03,-1.990248E+00,-67.695E-03,+868.444E-03
+14.600E-03,-1.994871E+00,-68.198E-03,+867.640E-03
+14.700E-03,-1.999494E+00,-66.992E-03,+867.188E-03
+14.800E-03,-2.000801E+00,-64.881E-03,+867.188E-03
+14.900E-03,-1.998288E+00,-63.173E-03,+867.188E-03
+15.000E-03,-2.000801E+00,-63.173E-03,+865.931E-03
+15.100E-03,-2.000801E+00,-63.173E-03,+866.132E-03
+15.200E-03,-1.998288E+00,-62.369E-03,+865.931E-03
+15.300E-03,-1.998288E+00,-60.660E-03,+865.278E-03
+15.400E-03,-1.993263E+00,-58.148E-03,+866.383E-03
+15.500E-03,-1.988238E+00,-57.645E-03,+866.936E-03
+15.600E-03,-1.978087E+00,-50.509E-03,+864.675E-03
+15.700E-03,-1.964017E+00,-24.178E-03,+863.419E-03
+15.800E-03,-1.921404E+00,+10.496E-03,+864.675E-03
+15.900E-03,-1.866730E+00,+60.546E-03,+864.675E-03
+16.000E-03,-1.814871E+00,+112.204E-03,+865.429E-03
+16.100E-03,-1.759796E+00,+174.114E-03,+863.419E-03
+16.200E-03,-1.693263E+00,+232.003E-03,+864.675E-03
+16.300E-03,-1.630550E+00,+294.717E-03,+863.419E-03
+16.400E-03,-1.571655E+00,+348.988E-03,+863.419E-03
+16.500E-03,-1.519394E+00,+404.667E-03,+862.162E-03
+16.600E-03,-1.461504E+00,+458.536E-03,+864.122E-03
+16.700E-03,-1.409344E+00,+513.209E-03,+862.162E-03
+16.800E-03,-1.363313E+00,+556.425E-03,+862.162E-03
+16.900E-03,-1.320198E+00,+597.330E-03,+862.162E-03
+17.000E-03,-1.273163E+00,+642.355E-03,+860.655E-03
+17.100E-03,-1.224821E+00,+691.802E-03,+859.650E-03
+17.200E-03,-1.175575E+00,+738.033E-03,+859.650E-03
+17.300E-03,-1.127434E+00,+792.606E-03,+859.650E-03
+17.400E-03,-1.061605E+00,+851.702E-03,+860.906E-03
+17.500E-03,-1.008339E+00,+906.677E-03,+862.162E-03
+17.600E-03,-968.942E-03,+948.586E-03,+860.906E-03
+17.700E-03,-950.449E-03,+956.124E-03,+869.298E-03
+17.800E-03,-929.143E-03,+970.797E-03,+879.851E-03
+17.900E-03,-902.610E-03,+984.566E-03,+891.509E-03
+18.000E-03,-887.233E-03,+990.094E-03,+903.117E-03
+18.100E-03,-867.334E-03,+997.330E-03,+912.464E-03
+18.200E-03,-850.349E-03,+1.011601E+00,+920.755E-03
+18.300E-03,-827.032E-03,+1.024063E+00,+932.162E-03
+18.400E-03,-796.680E-03,+1.033712E+00,+947.891E-03
+18.500E-03,-750.550E-03,+1.061450E+00,+968.193E-03
+18.600E-03,-693.766E-03,+1.093109E+00,+994.926E-03
+18.700E-03,-615.374E-03,+1.131099E+00,+1.032464E+00
+18.800E-03,-554.570E-03,+1.162355E+00,+1.071358E+00
+18.900E-03,-493.766E-03,+1.194415E+00,+1.102514E+00
+19.000E-03,-448.540E-03,+1.224264E+00,+1.129750E+00
+19.100E-03,-403.414E-03,+1.245269E+00,+1.152765E+00
+19.200E-03,-357.685E-03,+1.272405E+00,+1.175831E+00
+19.300E-03,-293.263E-03,+1.309893E+00,+1.208695E+00
+19.400E-03,-220.298E-03,+1.353712E+00,+1.251157E+00
+19.500E-03,-134.469E-03,+1.394616E+00,+1.295328E+00
+19.600E-03,-44.117E-03,+1.439139E+00,+1.344625E+00
+19.700E-03,+41.511E-03,+1.484365E+00,+1.388946E+00
+19.800E-03,+113.772E-03,+1.522154E+00,+1.427791E+00
+19.900E-03,+162.415E-03,+1.552807E+00,+1.455730E+00
+20.000E-03,+207.742E-03,+1.572506E+00,+1.476484E+00
+20.100E-03,+262.315E-03,+1.598938E+00,+1.506283E+00
+20.200E-03,+314.275E-03,+1.630395E+00,+1.533519E+00
+20.300E-03,+378.998E-03,+1.663159E+00,+1.567791E+00
+20.400E-03,+448.646E-03,+1.700144E+00,+1.602866E+00
+20.500E-03,+523.320E-03,+1.740345E+00,+1.642313E+00
+20.600E-03,+595.581E-03,+1.774114E+00,+1.680554E+00
+20.700E-03,+672.365E-03,+1.814717E+00,+1.719298E+00
+20.800E-03,+737.290E-03,+1.848586E+00,+1.757389E+00
+20.900E-03,+802.717E-03,+1.877933E+00,+1.788645E+00
+21.000E-03,+852.968E-03,+1.907179E+00,+1.816936E+00
+21.100E-03,+904.224E-03,+1.928586E+00,+1.839801E+00
+21.200E-03,+942.214E-03,+1.952104E+00,+1.859951E+00
+21.300E-03,+963.822E-03,+1.959239E+00,+1.875780E+00
+21.400E-03,+992.365E-03,+1.970797E+00,+1.887338E+00
+21.500E-03,+1.016787E+00,+1.990094E+00,+1.898846E+00
+21.600E-03,+1.068345E+00,+2.015219E+00,+1.920755E+00
+21.700E-03,+1.138697E+00,+2.051601E+00,+1.955981E+00
+21.800E-03,+1.220204E+00,+2.094114E+00,+1.999198E+00
+21.900E-03,+1.290053E+00,+2.132405E+00,+2.037740E+00
+22.000E-03,+1.352466E+00,+2.159440E+00,+2.069951E+00
+22.100E-03,+1.387541E+00,+2.181249E+00,+2.088997E+00
+22.200E-03,+1.407440E+00,+2.193109E+00,+2.099549E+00
+22.300E-03,+1.424626E+00,+2.198134E+00,+2.110454E+00
+22.400E-03,+1.439702E+00,+2.203561E+00,+2.118645E+00
+22.500E-03,+1.466536E+00,+2.220747E+00,+2.131007E+00
+22.600E-03,+1.501812E+00,+2.237933E+00,+2.147188E+00
+22.700E-03,+1.549651E+00,+2.263561E+00,+2.169650E+00
+22.800E-03,+1.593672E+00,+2.283661E+00,+2.194574E+00
+22.900E-03,+1.642616E+00,+2.313008E+00,+2.218595E+00
+23.000E-03,+1.683621E+00,+2.329792E+00,+2.240052E+00
+23.100E-03,+1.710556E+00,+2.344063E+00,+2.257941E+00
+23.200E-03,+1.725028E+00,+2.353913E+00,+2.265127E+00
+23.300E-03,+1.737189E+00,+2.356425E+00,+2.275127E+00
+23.400E-03,+1.751862E+00,+2.360345E+00,+2.279951E+00
+23.500E-03,+1.761511E+00,+2.364968E+00,+2.284022E+00
+23.600E-03,+1.765531E+00,+2.367079E+00,+2.289600E+00
+23.700E-03,+1.765531E+00,+2.366475E+00,+2.291911E+00
+23.800E-03,+1.765531E+00,+2.366475E+00,+2.294323E+00
+23.900E-03,+1.768043E+00,+2.366475E+00,+2.294323E+00
+24.000E-03,+1.768043E+00,+2.368988E+00,+2.295077E+00
+24.100E-03,+1.770556E+00,+2.368988E+00,+2.295579E+00
+24.200E-03,+1.777390E+00,+2.371501E+00,+2.296836E+00
+24.300E-03,+1.778395E+00,+2.374013E+00,+2.296986E+00
+24.400E-03,+1.783119E+00,+2.374013E+00,+2.298092E+00
