x-axis,F1
second,Volt
-22.10000E-03,-4.63366699E+00
-22.07500E-03,-4.69235840E+00
-22.05000E-03,-4.81774903E+00
-22.02500E-03,-4.96442872E+00
-22.00000E-03,-5.07116700E+00
-21.97500E-03,-5.16662598E+00
-21.95000E-03,-5.29123536E+00
-21.92500E-03,-5.34499514E+00
-21.90000E-03,-5.47717285E+00
-21.87500E-03,-5.60485841E+00
-21.85000E-03,-5.69890139E+00
-21.82500E-03,-5.81726074E+00
-21.80000E-03,-5.98596192E+00
-21.77500E-03,-6.08552250E+00
-21.75000E-03,-6.19958499E+00
-21.72500E-03,-6.31823732E+00
-21.70000E-03,-6.45407716E+00
-21.67500E-03,-6.56276862E+00
-21.65000E-03,-6.67048345E+00
-21.62500E-03,-6.82312013E+00
-21.60000E-03,-6.98352052E+00
-21.57500E-03,-7.09689948E+00
-21.55000E-03,-7.22683112E+00
-21.52500E-03,-7.33093262E+00
-21.50000E-03,-7.47131351E+00
-21.47500E-03,-7.57878426E+00
-21.45000E-03,-7.67966315E+00
-21.42500E-03,-7.81921387E+00
-21.40000E-03,-7.95461437E+00
-21.37500E-03,-8.02673344E+00
-21.35000E-03,-8.17736819E+00
-21.32500E-03,-8.27502448E+00
-21.30000E-03,-8.32360842E+00
-21.27500E-03,-8.44636233E+00
-21.25000E-03,-8.45764163E+00
-21.22500E-03,-8.55168465E+00
-21.20000E-03,-8.60778809E+00
-21.17500E-03,-8.63967294E+00
-21.15000E-03,-8.77453616E+00
-21.12500E-03,-8.81286627E+00
-21.10000E-03,-8.93249512E+00
-21.07500E-03,-9.00056168E+00
-21.05000E-03,-9.09768076E+00
-21.02500E-03,-9.24714362E+00
-21.00000E-03,-9.41833503E+00
-20.97500E-03,-9.62077651E+00
-20.95000E-03,-9.83942893E+00
-20.92500E-03,-10.06535667E+00
-20.90000E-03,-10.27199737E+00
-20.87500E-03,-10.46643089E+00
-20.85000E-03,-10.63713398E+00
-20.82500E-03,-10.82019055E+00
-20.80000E-03,-10.96608903E+00
-20.77500E-03,-11.11994649E+00
-20.75000E-03,-11.28454611E+00
-20.72500E-03,-11.42614754E+00
-20.70000E-03,-11.57287598E+00
-20.67500E-03,-11.71862802E+00
-20.65000E-03,-11.85163583E+00
-20.62500E-03,-11.94763211E+00
-20.60000E-03,-12.05900884E+00
-20.57500E-03,-12.22351074E+00
-20.55000E-03,-12.38049330E+00
-20.52500E-03,-12.47956562E+00
-20.50000E-03,-12.61413579E+00
-20.47500E-03,-12.76232915E+00
-20.45000E-03,-12.79699712E+00
-20.42500E-03,-12.92419434E+00
-20.40000E-03,-13.00227072E+00
-20.37500E-03,-13.07434082E+00
-20.35000E-03,-13.19279796E+00
-20.32500E-03,-13.22546392E+00
-20.30000E-03,-13.35939958E+00
-20.27500E-03,-13.41247559E+00
-20.25000E-03,-13.52917503E+00
-20.22500E-03,-13.58020025E+00
-20.20000E-03,-13.68176281E+00
-20.17500E-03,-13.70241711E+00
-20.15000E-03,-13.79797381E+00
-20.12500E-03,-13.84948730E+00
-20.10000E-03,-13.94938984E+00
-20.07500E-03,-14.01892096E+00
-20.05000E-03,-14.12097180E+00
-20.02500E-03,-14.17736823E+00
-20.00000E-03,-14.18762207E+00
-19.97500E-03,-14.19982910E+00
-19.95000E-03,-14.18762207E+00
-19.92500E-03,-14.18127435E+00
-19.90000E-03,-14.17102044E+00
-19.87500E-03,-14.16320801E+00
-19.85000E-03,-14.16369636E+00
-19.82500E-03,-14.17541504E+00
-19.80000E-03,-14.16662591E+00
-19.77500E-03,-14.15568840E+00
-19.75000E-03,-14.12536621E+00
-19.72500E-03,-14.10993644E+00
-19.70000E-03,-14.14157744E+00
-19.67500E-03,-14.23767090E+00
-19.65000E-03,-14.39123557E+00
-19.62500E-03,-14.53332566E+00
-19.60000E-03,-14.67819863E+00
-19.57500E-03,-14.81101098E+00
-19.55000E-03,-14.96545418E+00
-19.52500E-03,-15.12434114E+00
-19.50000E-03,-15.23596239E+00
-19.47500E-03,-15.30510271E+00
-19.45000E-03,-15.44470223E+00
-19.42500E-03,-15.54274935E+00
-19.40000E-03,-15.64313982E+00
-19.37500E-03,-15.80139169E+00
-19.35000E-03,-15.93132358E+00
-19.32500E-03,-15.99768075E+00
-19.30000E-03,-16.12780779E+00
-19.27500E-03,-16.17834498E+00
-19.25000E-03,-16.30187988E+00
-19.22500E-03,-16.37956578E+00
-19.20000E-03,-16.45056161E+00
-19.17500E-03,-16.54528826E+00
-19.15000E-03,-16.62780762E+00
-19.12500E-03,-16.74792517E+00
-19.10000E-03,-16.81872568E+00
-19.07500E-03,-16.95456562E+00
-19.05000E-03,-16.98937997E+00
-19.02500E-03,-17.12536630E+00
-19.00000E-03,-17.23083515E+00
-18.97500E-03,-17.30192891E+00
-18.95000E-03,-17.44421396E+00
-18.92500E-03,-17.56945820E+00
-18.90000E-03,-17.66511260E+00
-18.87500E-03,-17.81164571E+00
-18.85000E-03,-17.94890177E+00
-18.82500E-03,-18.05905812E+00
-18.80000E-03,-18.17492696E+00
-18.77500E-03,-18.32116719E+00
-18.75000E-03,-18.45397970E+00
-18.72500E-03,-18.59221253E+00
-18.70000E-03,-18.69733940E+00
-18.67500E-03,-18.84963411E+00
-18.65000E-03,-19.02673361E+00
-18.62500E-03,-19.20983909E+00
-18.60000E-03,-19.39318858E+00
-18.57500E-03,-19.56086481E+00
-18.55000E-03,-19.70085505E+00
-18.52500E-03,-19.83547430E+00
-18.50000E-03,-19.96814020E+00
-18.47500E-03,-20.10246616E+00
-18.45000E-03,-20.25681164E+00
-18.42500E-03,-20.42849155E+00
-18.40000E-03,-20.59113826E+00
-18.37500E-03,-20.73938058E+00
-18.35000E-03,-20.86467354E+00
-18.32500E-03,-21.01022962E+00
-18.30000E-03,-21.17150890E+00
-18.27500E-03,-21.30427305E+00
-18.25000E-03,-21.41027880E+00
-18.22500E-03,-21.51115747E+00
-18.20000E-03,-21.67053223E+00
-18.17500E-03,-21.81936072E+00
-18.15000E-03,-21.92663610E+00
-18.12500E-03,-22.04528846E+00
-18.10000E-03,-22.20568860E+00
-18.07500E-03,-22.31735889E+00
-18.05000E-03,-22.40783691E+00
-18.02500E-03,-22.51716334E+00
-18.00000E-03,-22.57385266E+00
-17.97500E-03,-22.68420423E+00
-17.95000E-03,-22.70812988E+00
-17.92500E-03,-22.78918482E+00
-17.90000E-03,-22.85290540E+00
-17.87500E-03,-22.89367701E+00
-17.85000E-03,-22.97473157E+00
-17.82500E-03,-23.00949721E+00
-17.80000E-03,-23.03308118E+00
-17.77500E-03,-23.09045436E+00
-17.75000E-03,-23.16662612E+00
-17.72500E-03,-23.16984891E+00
-17.70000E-03,-23.26584500E+00
-17.67500E-03,-23.30871582E+00
-17.65000E-03,-23.43293499E+00
-17.62500E-03,-23.52453668E+00
-17.60000E-03,-23.63806179E+00
-17.57500E-03,-23.80930204E+00
-17.55000E-03,-23.92131432E+00
-17.52500E-03,-24.04499582E+00
-17.50000E-03,-24.19738799E+00
-17.47500E-03,-24.35583524E+00
