x-axis,1,F1
second,Volt,
+1.795000E-06,,
+1.797100E-06,,
+1.799200E-06,-925.407464963E-03,+1.000012253132E+00
+1.801300E-06,-920.224173561E-03,+1.000012253132E+00
+1.803400E-06,-916.284977624E-03,+1.000012253132E+00
+1.805500E-06,-911.848294254E-03,+1.000012253132E+00
+1.807600E-06,-907.291384755E-03,+1.000012253132E+00
+1.809700E-06,-902.790254150E-03,+1.000012253132E+00
+1.811800E-06,-897.609977824E-03,+1.000012253132E+00
+1.813900E-06,-892.326058282E-03,+1.000012253132E+00
+1.816000E-06,-885.477691521E-03,+1.000012253132E+00
+1.818100E-06,-880.901937802E-03,+1.000012253132E+00
+1.820200E-06,-873.433973057E-03,+1.000012253132E+00
+1.822300E-06,-869.433344960E-03,+1.000012253132E+00
+1.824400E-06,-861.672164138E-03,+1.000012253132E+00
+1.826500E-06,-855.943144099E-03,+1.000012253132E+00
+1.828600E-06,-850.496410489E-03,+1.000012253132E+00
+1.830700E-06,-844.583093969E-03,+1.000012253132E+00
+1.832800E-06,-835.588370448E-03,+1.000012253132E+00
+1.834900E-06,-830.033094125E-03,+1.000012253132E+00
+1.837000E-06,-820.781712315E-03,+1.000012253132E+00
+1.839100E-06,-816.401938492E-03,+1.000012253132E+00
+1.841200E-06,-808.368270237E-03,+1.000012253132E+00
+1.843300E-06,-799.134225109E-03,+1.000012253132E+00
+1.845400E-06,-791.773295540E-03,+1.000012253132E+00
+1.847500E-06,-783.698169998E-03,+1.000012253132E+00
+1.849600E-06,-775.223170089E-03,+1.000012253132E+00
+1.851700E-06,-768.044275694E-03,+1.000012253132E+00
+1.853800E-06,-759.509351162E-03,+1.000012253132E+00
+1.855900E-06,-750.833471858E-03,+1.000012253132E+00
+1.858000E-06,-744.113999568E-03,+1.000012253132E+00
+1.860100E-06,-735.012617756E-03,+1.000012253132E+00
+1.862200E-06,-724.207718374E-03,+1.000012253132E+00
+1.864300E-06,-715.503949623E-03,+1.000012253132E+00
+1.866400E-06,-707.221160767E-03,+1.000012253132E+00
+1.868500E-06,-697.214502583E-03,+1.000012253132E+00
+1.870600E-06,-689.688120754E-03,+1.000012253132E+00
+1.872700E-06,-679.780960056E-03,+1.000012253132E+00
+1.874800E-06,-670.444402367E-03,+1.000012253132E+00
+1.876900E-06,-660.728698954E-03,+1.000012253132E+00
+1.879000E-06,-651.609603574E-03,+1.000012253132E+00
+1.881100E-06,-642.260608699E-03,+1.000012253132E+00
+1.883200E-06,-634.685608780E-03,+1.000012253132E+00
+1.885300E-06,-623.716010908E-03,+1.000012253132E+00
+1.887400E-06,-613.968649203E-03,+1.000012253132E+00
+1.889500E-06,-603.409855346E-03,+1.000012253132E+00
+1.891600E-06,-590.695659503E-03,+1.000012253132E+00
+1.893700E-06,-582.547418384E-03,+1.000012253132E+00
+1.895800E-06,-571.424805438E-03,+1.000012253132E+00
+1.897900E-06,-561.525182428E-03,+1.000012253132E+00
+1.900000E-06,-551.565634796E-03,+1.000012253132E+00
+1.902100E-06,-538.849177646E-03,+1.000012253132E+00
+1.904200E-06,-528.423047104E-03,+1.000012253132E+00
+1.906300E-06,-519.144529616E-03,+1.000012253132E+00
+1.908400E-06,-505.248424237E-03,+1.000012253132E+00
+1.910500E-06,-495.464504744E-03,+1.000012253132E+00
+1.912600E-06,-485.467268670E-03,+1.000012253132E+00
+1.914700E-06,-473.272042670E-03,+1.000012253132E+00
+1.916800E-06,-461.651565407E-03,+1.000012253132E+00
+1.918900E-06,-452.225686111E-03,+1.000012253132E+00
+1.921000E-06,-438.268525457E-03,+1.000012253132E+00
+1.923100E-06,-429.511616003E-03,+1.000012253132E+00
+1.925200E-06,-415.949053334E-03,+1.000012253132E+00
+1.927300E-06,-404.440887628E-03,+1.000012253132E+00
+1.929400E-06,-393.752445532E-03,+1.000012253132E+00
+1.931500E-06,-380.627822557E-03,+1.000012253132E+00
+1.933600E-06,-369.594908102E-03,+1.000012253132E+00
+1.935700E-06,-359.202697158E-03,+1.000012253132E+00
+1.937800E-06,-343.662245063E-03,+1.000012253132E+00
+1.939900E-06,-332.823049199E-03,+1.000012253132E+00
+1.942000E-06,-320.804958876E-03,+1.000012253132E+00
+1.944100E-06,-307.332094698E-03,+1.000012253132E+00
+1.946200E-06,-297.882471684E-03,+1.000012253132E+00
+1.948300E-06,-281.917647734E-03,+1.000012253132E+00
+1.950400E-06,-271.461743324E-03,+1.000012253132E+00
+1.952500E-06,-259.809984655E-03,+1.000012253132E+00
+1.954600E-06,-246.379331532E-03,+1.000012253132E+00
+1.956700E-06,-232.454582938E-03,+1.000012253132E+00
+1.958800E-06,-223.256718714E-03,+1.000012253132E+00
+1.960900E-06,-206.383980202E-03,+1.000012253132E+00
+1.963000E-06,-196.321920008E-03,+1.000012253132E+00
+1.965100E-06,-184.334734207E-03,+1.000012253132E+00
+1.967200E-06,-171.374432838E-03,+1.000012253132E+00
+1.969300E-06,-158.179332477E-03,+1.000012253132E+00
+1.971400E-06,-146.282222051E-03,+1.000012253132E+00
+1.973500E-06,-134.965136745E-03,+1.000012253132E+00
+1.975600E-06,-122.337624318E-03,+1.000012253132E+00
+1.977700E-06,-106.809232524E-03,+1.000012253132E+00
+1.979800E-06,-95.053076871E-03,+1.000012253132E+00
+1.981900E-06,-82.044157413E-03,+1.000012253132E+00
+1.984000E-06,-69.174308304E-03,+1.000012253132E+00
+1.986100E-06,-58.508479273E-03,+1.000012253132E+00
+1.988200E-06,-44.918027157E-03,+1.000012253132E+00
+1.990300E-06,-31.513755944E-03,+1.000012253132E+00
+1.992400E-06,-20.001821394E-03,+1.000012253132E+00
+1.994500E-06,-9.848932055E-03,+1.000012253132E+00
+1.996600E-06,+5.960615514E-03,+1.000012253132E+00
+1.998700E-06,+17.893529959E-03,+1.000012253132E+00
+2.000800E-06,+31.222424289E-03,+1.000012253132E+00
+2.002900E-06,+42.139635227E-03,+1.000012253132E+00
+2.005000E-06,+54.210112485E-03,+1.000012253132E+00
+2.007100E-06,+68.644031928E-03,+1.000012253132E+00
+2.009200E-06,+80.321041853E-03,+1.000012253132E+00
+2.011300E-06,+91.732725148E-03,+1.000012253132E+00
+2.013400E-06,+105.212373245E-03,+1.000012253132E+00
+2.015500E-06,+117.300564070E-03,+1.000012253132E+00
+2.017600E-06,+130.389383026E-03,+1.000012253132E+00
+2.019700E-06,+142.525061288E-03,+1.000012253132E+00
+2.021800E-06,+154.385613924E-03,+1.000012253132E+00
+2.023900E-06,+167.377950469E-03,+1.000012253132E+00
+2.026000E-06,+182.586367391E-03,+1.000012253132E+00
+2.028100E-06,+193.699181343E-03,+1.000012253132E+00
+2.030200E-06,+207.605085716E-03,+1.000012253132E+00
+2.032300E-06,+220.430085579E-03,+1.000012253132E+00
+2.034400E-06,+231.840638220E-03,+1.000012253132E+00
+2.036500E-06,+245.874683296E-03,+1.000012253132E+00
+2.038600E-06,+257.089256040E-03,+1.000012253132E+00
+2.040700E-06,+267.469783567E-03,+1.000012253132E+00
+2.042800E-06,+280.250687953E-03,+1.000012253132E+00
+2.044900E-06,+290.909733065E-03,+1.000012253132E+00
+2.047000E-06,+300.541768138E-03,+1.000012253132E+00
+2.049100E-06,+316.424808169E-03,+1.000012253132E+00
+2.051200E-06,+327.245159812E-03,+1.000012253132E+00
+2.053300E-06,+340.190008919E-03,+1.000012253132E+00
+2.055400E-06,+351.347672116E-03,+1.000012253132E+00
+2.057500E-06,+363.387244852E-03,+1.000012253132E+00
+2.059600E-06,+375.837244718E-03,+1.000012253132E+00
+2.061700E-06,+387.117772236E-03,+1.000012253132E+00
