x-axis,1,F1
second,Volt,
+3.5000000E-06,-75.8809710314E-03,+1.0000122531319E+00
+3.5005000E-06,-84.8837981030E-03,+1.0000122531319E+00
+3.5010000E-06,-96.1526428728E-03,+1.0000122531319E+00
+3.5015000E-06,-108.5238746309E-03,+1.0000122531319E+00
+3.5020000E-06,-119.7314756791E-03,+1.0000122531319E+00
+3.5025000E-06,-131.6127576647E-03,+1.0000122531319E+00
+3.5030000E-06,-141.6873498638E-03,+1.0000122531319E+00
+3.5035000E-06,-151.5475890373E-03,+1.0000122531319E+00
+3.5040000E-06,-164.1637956818E-03,+1.0000122531319E+00
+3.5045000E-06,-175.7082371987E-03,+1.0000122531319E+00
+3.5050000E-06,-188.1100908176E-03,+1.0000122531319E+00
+3.5055000E-06,-200.2975914110E-03,+1.0000122531319E+00
+3.5060000E-06,-211.2602175730E-03,+1.0000122531319E+00
+3.5065000E-06,-222.6209279251E-03,+1.0000122531319E+00
+3.5070000E-06,-232.8486294281E-03,+1.0000122531319E+00
+3.5075000E-06,-243.0763309312E-03,+1.0000122531319E+00
+3.5080000E-06,-255.1413440814E-03,+1.0000122531319E+00
+3.5085000E-06,-267.1144916494E-03,+1.0000122531319E+00
+3.5090000E-06,-278.5364457231E-03,+1.0000122531319E+00
+3.5095000E-06,-290.3871058478E-03,+1.0000122531319E+00
+3.5100000E-06,-300.6454292117E-03,+1.0000122531319E+00
+3.5105000E-06,-311.1487274618E-03,+1.0000122531319E+00
+3.5110000E-06,-321.7745131550E-03,+1.0000122531319E+00
+3.5115000E-06,-332.4615425699E-03,+1.0000122531319E+00
+3.5120000E-06,-344.7102868848E-03,+1.0000122531319E+00
+3.5125000E-06,-355.9791316547E-03,+1.0000122531319E+00
+3.5130000E-06,-367.4317075892E-03,+1.0000122531319E+00
+3.5135000E-06,-378.7005523590E-03,+1.0000122531319E+00
+3.5140000E-06,-388.2851947855E-03,+1.0000122531319E+00
+3.5145000E-06,-398.9416023395E-03,+1.0000122531319E+00
+3.5150000E-06,-410.2410689701E-03,+1.0000122531319E+00
+3.5155000E-06,-420.4381486124E-03,+1.0000122531319E+00
+3.5160000E-06,-431.7069933821E-03,+1.0000122531319E+00
+3.5165000E-06,-442.6389976833E-03,+1.0000122531319E+00
+3.5170000E-06,-452.2848838313E-03,+1.0000122531319E+00
+3.5175000E-06,-463.1250225501E-03,+1.0000122531319E+00
+3.5180000E-06,-472.7402868374E-03,+1.0000122531319E+00
+3.5185000E-06,-483.7947785816E-03,+1.0000122531319E+00
+3.5190000E-06,-494.8798921868E-03,+1.0000122531319E+00
+3.5195000E-06,-504.0970722838E-03,+1.0000122531319E+00
+3.5200000E-06,-514.8147235594E-03,+1.0000122531319E+00
+3.5205000E-06,-524.4606097075E-03,+1.0000122531319E+00
+3.5210000E-06,-534.9639079575E-03,+1.0000122531319E+00
+3.5215000E-06,-545.9877778411E-03,+1.0000122531319E+00
+3.5220000E-06,-555.2355797989E-03,+1.0000122531319E+00
+3.5225000E-06,-565.9226092137E-03,+1.0000122531319E+00
+3.5230000E-06,-576.6096386286E-03,+1.0000122531319E+00
+3.5235000E-06,-586.2555247766E-03,+1.0000122531319E+00
+3.5240000E-06,-596.2994951149E-03,+1.0000122531319E+00
+3.5245000E-06,-606.4047091748E-03,+1.0000122531319E+00
+3.5250000E-06,-617.4285790583E-03,+1.0000122531319E+00
+3.5255000E-06,-626.7988684593E-03,+1.0000122531319E+00
+3.5260000E-06,-635.1586364543E-03,+1.0000122531319E+00
+3.5265000E-06,-645.6006909828E-03,+1.0000122531319E+00
+3.5270000E-06,-655.0322241054E-03,+1.0000122531319E+00
+3.5275000E-06,-664.1881604808E-03,+1.0000122531319E+00
+3.5280000E-06,-674.1402652367E-03,+1.0000122531319E+00
+3.5285000E-06,-682.8674955612E-03,+1.0000122531319E+00
+3.5290000E-06,-692.4827598484E-03,+1.0000122531319E+00
+3.5295000E-06,-701.8530492495E-03,+1.0000122531319E+00
+3.5300000E-06,-710.7027670170E-03,+1.0000122531319E+00
+3.5305000E-06,-720.8079810769E-03,+1.0000122531319E+00
+3.5310000E-06,-730.5763546681E-03,+1.0000122531319E+00
+3.5315000E-06,-739.2729631318E-03,+1.0000122531319E+00
+3.5320000E-06,-747.9083278738E-03,+1.0000122531319E+00
+3.5325000E-06,-756.1762302865E-03,+1.0000122531319E+00
+3.5330000E-06,-764.4747545599E-03,+1.0000122531319E+00
+3.5335000E-06,-773.6306909353E-03,+1.0000122531319E+00
+3.5340000E-06,-782.2354338166E-03,+1.0000122531319E+00
+3.5345000E-06,-791.7588325215E-03,+1.0000122531319E+00
+3.5350000E-06,-800.3329535421E-03,+1.0000122531319E+00
+3.5355000E-06,-808.1109061820E-03,+1.0000122531319E+00
+3.5360000E-06,-816.5319178986E-03,+1.0000122531319E+00
+3.5365000E-06,-824.7385765897E-03,+1.0000122531319E+00
+3.5370000E-06,-833.2820757494E-03,+1.0000122531319E+00
+3.5375000E-06,-840.9987846679E-03,+1.0000122531319E+00
+3.5380000E-06,-848.2561656745E-03,+1.0000122531319E+00
+3.5385000E-06,-856.9833959989E-03,+1.0000122531319E+00
+3.5390000E-06,-865.1900546900E-03,+1.0000122531319E+00
+3.5395000E-06,-872.5086794182E-03,+1.0000122531319E+00
+3.5400000E-06,-881.2665316034E-03,+1.0000122531319E+00
+3.5405000E-06,-888.2176940023E-03,+1.0000122531319E+00
+3.5410000E-06,-893.8521163871E-03,+1.0000122531319E+00
+3.5415000E-06,-901.5075815839E-03,+1.0000122531319E+00
+3.5420000E-06,-910.0204588828E-03,+1.0000122531319E+00
+3.5425000E-06,-918.0740082700E-03,+1.0000122531319E+00
+3.5430000E-06,-924.8108176433E-03,+1.0000122531319E+00
+3.5435000E-06,-932.2825516753E-03,+1.0000122531319E+00
+3.5440000E-06,-940.1523698978E-03,+1.0000122531319E+00
+3.5445000E-06,-946.0011453083E-03,+1.0000122531319E+00
+3.5450000E-06,-953.4728793402E-03,+1.0000122531319E+00
+3.5455000E-06,-961.4958068667E-03,+1.0000122531319E+00
+3.5460000E-06,-968.0795069360E-03,+1.0000122531319E+00
+3.5465000E-06,-975.4899972465E-03,+1.0000122531319E+00
+3.5470000E-06,-982.4411596453E-03,+1.0000122531319E+00
+3.5475000E-06,-988.3511787773E-03,+1.0000122531319E+00
+3.5480000E-06,-995.7310472270E-03,+1.0000122531319E+00
+3.5485000E-06,-1.0027434533475E+00,+1.0000122531319E+00
+3.5490000E-06,-1.0090515566696E+00,+1.0000122531319E+00
+3.5495000E-06,-1.0157271223214E+00,+1.0000122531319E+00
+3.5500000E-06,-1.0214840321494E+00,+1.0000122531319E+00
+3.5505000E-06,-1.0285270601304E+00,+1.0000122531319E+00
+3.5510000E-06,-1.0347126760097E+00,+1.0000122531319E+00
+3.5515000E-06,-1.0392447114062E+00,+1.0000122531319E+00
+3.5520000E-06,-1.0450628649557E+00,+1.0000122531319E+00
+3.5525000E-06,-1.0501767157074E+00,+1.0000122531319E+00
+3.5530000E-06,-1.0568829032196E+00,+1.0000122531319E+00
+3.5535000E-06,-1.0638034437578E+00,+1.0000122531319E+00
+3.5540000E-06,-1.0683048572935E+00,+1.0000122531319E+00
+3.5545000E-06,-1.0739392796784E+00,+1.0000122531319E+00
+3.5550000E-06,-1.0789306429868E+00,+1.0000122531319E+00
+3.5555000E-06,-1.0825746444205E+00,+1.0000122531319E+00
+3.5560000E-06,-1.0872904109817E+00,+1.0000122531319E+00
+3.5565000E-06,-1.0925879928980E+00,+1.0000122531319E+00
+3.5570000E-06,-1.0978855748142E+00,+1.0000122531319E+00
+3.5575000E-06,-1.1034587534776E+00,+1.0000122531319E+00
+3.5580000E-06,-1.1081745200389E+00,+1.0000122531319E+00
+3.5585000E-06,-1.1131658833472E+00,+1.0000122531319E+00
+3.5590000E-06,-1.1172385908320E+00,+1.0000122531319E+00
+3.5595000E-06,-1.1212806764559E+00,+1.0000122531319E+00
+3.5600000E-06,-1.1260576867388E+00,+1.0000122531319E+00
+3.5605000E-06,-1.1292729821215E+00,+1.0000122531319E+00
+3.5610000E-06,-1.1337437737963E+00,+1.0000122531319E+00
+3.5615000E-06,-1.1384901622185E+00,+1.0000122531319E+00
+3.5620000E-06,-1.1417973231836E+00,+1.0000122531319E+00
+3.5625000E-06,-1.1460537618330E+00,+1.0000122531319E+00
+3.5630000E-06,-1.1495752758237E+00,+1.0000122531319E+00
+3.5635000E-06,-1.1533417647004E+00,+1.0000122531319E+00
+3.5640000E-06,-1.1578738000970E+00,+1.0000122531319E+00
+3.5645000E-06,-1.1605685238464E+00,+1.0000122531319E+00
+3.5650000E-06,-1.1642431471407E+00,+1.0000122531319E+00
+3.5655000E-06,-1.1683158546256E+00,+1.0000122531319E+00
+3.5660000E-06,-1.1712249314004E+00,+1.0000122531319E+00
+3.5665000E-06,-1.1749914202772E+00,+1.0000122531319E+00
+3.5670000E-06,-1.1770124630894E+00,+1.0000122531319E+00
+3.5675000E-06,-1.1789722621796E+00,+1.0000122531319E+00
+3.5680000E-06,-1.1826162636133E+00,+1.0000122531319E+00
+3.5685000E-06,-1.1839942473489E+00,+1.0000122531319E+00
+3.5690000E-06,-1.1868727022626E+00,+1.0000122531319E+00
+3.5695000E-06,-1.1907616785829E+00,+1.0000122531319E+00
+3.5700000E-06,-1.1923233934830E+00,+1.0000122531319E+00
+3.5705000E-06,-1.1950487390930E+00,+1.0000122531319E+00
+3.5710000E-06,-1.1967023195757E+00,+1.0000122531319E+00
+3.5715000E-06,-1.1974984879561E+00,+1.0000122531319E+00
+3.5720000E-06,-1.1998869930975E+00,+1.0000122531319E+00
+3.5725000E-06,-1.2015405735801E+00,+1.0000122531319E+00
+3.5730000E-06,-1.2033166415057E+00,+1.0000122531319E+00
+3.5735000E-06,-1.2052151968746E+00,+1.0000122531319E+00
+3.5740000E-06,-1.2059194996727E+00,+1.0000122531319E+00
+3.5745000E-06,-1.2082773829532E+00,+1.0000122531319E+00
+3.5750000E-06,-1.2098697197144E+00,+1.0000122531319E+00
+3.5755000E-06,-1.2101146946006E+00,+1.0000122531319E+00
+3.5760000E-06,-1.2120744936909E+00,+1.0000122531319E+00
+3.5765000E-06,-1.2124113341598E+00,+1.0000122531319E+00
+3.5770000E-06,-1.2135443430086E+00,+1.0000122531319E+00
+3.5775000E-06,-1.2152591672130E+00,+1.0000122531319E+00
+3.5780000E-06,-1.2158409825678E+00,+1.0000122531319E+00
+3.5785000E-06,-1.2166371509484E+00,+1.0000122531319E+00
+3.5790000E-06,-1.2166371509484E+00,+1.0000122531319E+00
+3.5795000E-06,-1.2163615542013E+00,+1.0000122531319E+00
+3.5800000E-06,-1.2168821258346E+00,+1.0000122531319E+00
+3.5805000E-06,-1.2168821258348E+00,+1.0000122531319E+00
+3.5810000E-06,-1.2179232691012E+00,+1.0000122531319E+00
+3.5815000E-06,-1.2186581937605E+00,+1.0000122531319E+00
+3.5820000E-06,-1.2171577225818E+00,+1.0000122531319E+00
+3.5825000E-06,-1.2184744625954E+00,+1.0000122531319E+00
+3.5830000E-06,-1.2190868998115E+00,+1.0000122531319E+00
+3.5835000E-06,-1.2171577225819E+00,+1.0000122531319E+00
+3.5840000E-06,-1.2159328481503E+00,+1.0000122531319E+00
+3.5845000E-06,-1.2150754360483E+00,+1.0000122531319E+00
+3.5850000E-06,-1.2153816546560E+00,+1.0000122531319E+00
+3.5855000E-06,-1.2146161081366E+00,+1.0000122531319E+00
+3.5860000E-06,-1.2125644434637E+00,+1.0000122531319E+00
+3.5865000E-06,-1.2115233001969E+00,+1.0000122531319E+00
+3.5870000E-06,-1.2092879043596E+00,+1.0000122531319E+00
+3.5875000E-06,-1.2066544243318E+00,+1.0000122531319E+00
+3.5880000E-06,-1.2053376843178E+00,+1.0000122531319E+00
+3.5885000E-06,-1.2039903224433E+00,+1.0000122531319E+00
+3.5890000E-06,-1.2034391289489E+00,+1.0000122531319E+00
+3.5895000E-06,-1.2024898512647E+00,+1.0000122531319E+00
+3.5900000E-06,-1.1998563712370E+00,+1.0000122531319E+00
+3.5905000E-06,-1.1988764716916E+00,+1.0000122531319E+00
+3.5910000E-06,-1.1965798321329E+00,+1.0000122531319E+00
+3.5915000E-06,-1.1931501837245E+00,+1.0000122531319E+00
+3.5920000E-06,-1.1915884688243E+00,+1.0000122531319E+00
+3.5925000E-06,-1.1888937450751E+00,+1.0000122531319E+00
+3.5930000E-06,-1.1868420804021E+00,+1.0000122531319E+00
+3.5935000E-06,-1.1853416092237E+00,+1.0000122531319E+00
+3.5940000E-06,-1.1819425826764E+00,+1.0000122531319E+00
+3.5945000E-06,-1.1794315900916E+00,+1.0000122531319E+00
+3.5950000E-06,-1.1761856728484E+00,+1.0000122531319E+00
+3.5955000E-06,-1.1725110495537E+00,+1.0000122531319E+00
+3.5960000E-06,-1.1706431160457E+00,+1.0000122531319E+00
+3.5965000E-06,-1.1673971988024E+00,+1.0000122531319E+00
+3.5970000E-06,-1.1632020038744E+00,+1.0000122531319E+00
+3.5975000E-06,-1.1600479522132E+00,+1.0000122531319E+00
+3.5980000E-06,-1.1566795475267E+00,+1.0000122531319E+00
+3.5985000E-06,-1.1534030084223E+00,+1.0000122531319E+00
+3.5990000E-06,-1.1499427381535E+00,+1.0000122531319E+00
+3.5995000E-06,-1.1454107027570E+00,+1.0000122531319E+00
+3.6000000E-06,-1.1417054576016E+00,+1.0000122531319E+00
+3.6005000E-06,-1.1372959096484E+00,+1.0000122531319E+00
+3.6010000E-06,-1.1332844458849E+00,+1.0000122531319E+00
+3.6015000E-06,-1.1293036039828E+00,+1.0000122531319E+00
+3.6020000E-06,-1.1241897532312E+00,+1.0000122531319E+00
+3.6025000E-06,-1.1201170457464E+00,+1.0000122531319E+00
+3.6030000E-06,-1.1155237666284E+00,+1.0000122531319E+00
+3.6035000E-06,-1.1102261847122E+00,+1.0000122531319E+00
+3.6040000E-06,-1.1062759646704E+00,+1.0000122531319E+00
+3.6045000E-06,-1.1010090046153E+00,+1.0000122531319E+00
+3.6050000E-06,-1.0959563975850E+00,+1.0000122531319E+00
+3.6055000E-06,-1.0915774714927E+00,+1.0000122531319E+00
+3.6060000E-06,-1.0858511835253E+00,+1.0000122531319E+00
+3.6065000E-06,-1.0818090979012E+00,+1.0000122531319E+00
+3.6070000E-06,-1.0760215662128E+00,+1.0000122531319E+00
+3.6075000E-06,-1.0692541349785E+00,+1.0000122531319E+00
+3.6080000E-06,-1.0645077465564E+00,+1.0000122531319E+00
+3.6085000E-06,-1.0587508367285E+00,+1.0000122531319E+00
+3.6090000E-06,-1.0526264645709E+00,+1.0000122531319E+00
+3.6095000E-06,-1.0474207482370E+00,+1.0000122531319E+00
+3.6100000E-06,-1.0424293849286E+00,+1.0000122531319E+00
+3.6105000E-06,-1.0372849123164E+00,+1.0000122531319E+00
+3.6110000E-06,-1.0302112624747E+00,+1.0000122531319E+00
+3.6115000E-06,-1.0224333098346E+00,+1.0000122531319E+00
+3.6120000E-06,-1.0165845344240E+00,+1.0000122531319E+00
+3.6125000E-06,-1.0094190190001E+00,+1.0000122531319E+00
+3.6130000E-06,-1.0019166631068E+00,+1.0000122531319E+00
+3.6135000E-06,-996.1291314180E-03,+1.0000122531319E+00
+3.6140000E-06,-989.1473471586E-03,+1.0000122531319E+00
+3.6145000E-06,-982.9617312793E-03,+1.0000122531319E+00
+3.6150000E-06,-976.2861656279E-03,+1.0000122531319E+00
+3.6155000E-06,-969.4574906720E-03,+1.0000122531319E+00
+3.6160000E-06,-963.5780934010E-03,+1.0000122531319E+00
+3.6165000E-06,-955.0958379631E-03,+1.0000122531319E+00
+3.6170000E-06,-948.3896504501E-03,+1.0000122531319E+00
+3.6175000E-06,-943.1533122557E-03,+1.0000122531319E+00
+3.6180000E-06,-935.8653093883E-03,+1.0000122531319E+00
+3.6185000E-06,-928.6997939640E-03,+1.0000122531319E+00
+3.6190000E-06,-920.7993538810E-03,+1.0000122531319E+00
+3.6195000E-06,-912.2558547213E-03,+1.0000122531319E+00
+3.6200000E-06,-904.9984737145E-03,+1.0000122531319E+00
+3.6205000E-06,-897.6186052648E-03,+1.0000122531319E+00
+3.6210000E-06,-889.9325182071E-03,+1.0000122531319E+00
+3.6215000E-06,-883.1650869730E-03,+1.0000122531319E+00
+3.6220000E-06,-875.3565124724E-03,+1.0000122531319E+00
+3.6225000E-06,-867.6704254145E-03,+1.0000122531319E+00
+3.6230000E-06,-858.8207076473E-03,+1.0000122531319E+00
+3.6235000E-06,-849.2973089421E-03,+1.0000122531319E+00
+3.6240000E-06,-842.1011716570E-03,+1.0000122531319E+00
+3.6245000E-06,-834.3232190171E-03,+1.0000122531319E+00
+3.6250000E-06,-826.1778040475E-03,+1.0000122531319E+00
+3.6255000E-06,-818.4917169899E-03,+1.0000122531319E+00
+3.6260000E-06,-809.9482178303E-03,+1.0000122531319E+00
+3.6265000E-06,-802.2008870508E-03,+1.0000122531319E+00
+3.6270000E-06,-793.6573878915E-03,+1.0000122531319E+00
+3.6275000E-06,-783.7359049962E-03,+1.0000122531319E+00
+3.6280000E-06,-774.9474309501E-03,+1.0000122531319E+00
+3.6285000E-06,-766.0977131826E-03,+1.0000122531319E+00
+3.6290000E-06,-757.2173735542E-03,+1.0000122531319E+00
+3.6295000E-06,-748.5513869514E-03,+1.0000122531319E+00
+3.6300000E-06,-739.7322910446E-03,+1.0000122531319E+00
+3.6305000E-06,-731.7093635181E-03,+1.0000122531319E+00
+3.6310000E-06,-722.1247210920E-03,+1.0000122531319E+00
+3.6315000E-06,-712.5094568043E-03,+1.0000122531319E+00
+3.6320000E-06,-704.4252855566E-03,+1.0000122531319E+00
+3.6325000E-06,-694.2894496362E-03,+1.0000122531319E+00
+3.6330000E-06,-684.9497820956E-03,+1.0000122531319E+00
+3.6335000E-06,-675.6407364166E-03,+1.0000122531319E+00
+3.6340000E-06,-665.6273879388E-03,+1.0000122531319E+00
+3.6345000E-06,-656.4102078419E-03,+1.0000122531319E+00
+3.6350000E-06,-645.7538002880E-03,+1.0000122531319E+00
+3.6355000E-06,-635.7098299494E-03,+1.0000122531319E+00
+3.6360000E-06,-626.1864312447E-03,+1.0000122531319E+00
+3.6365000E-06,-615.9587297416E-03,+1.0000122531319E+00
+3.6370000E-06,-607.1090119738E-03,+1.0000122531319E+00
+3.6375000E-06,-597.3712602438E-03,+1.0000122531319E+00
+3.6380000E-06,-586.9598275758E-03,+1.0000122531319E+00
+3.6385000E-06,-577.9263786434E-03,+1.0000122531319E+00
+3.6390000E-06,-567.2699710897E-03,+1.0000122531319E+00
+3.6395000E-06,-556.0317481805E-03,+1.0000122531319E+00
+3.6400000E-06,-545.8652903991E-03,+1.0000122531319E+00
+3.6405000E-06,-535.3313702882E-03,+1.0000122531319E+00
+3.6410000E-06,-525.4711311145E-03,+1.0000122531319E+00
+3.6415000E-06,-515.6721356626E-03,+1.0000122531319E+00
+3.6420000E-06,-505.5362997419E-03,+1.0000122531319E+00
