x-axis,1,F1
second,Volt,
+3.5000000E-06,+43.2074455712E-03,+1.0000122531319E+00
+3.5005000E-06,+60.9681248279E-03,+1.0000122531319E+00
+3.5010000E-06,+77.5957952355E-03,+1.0000122531319E+00
+3.5015000E-06,+94.1316000608E-03,+1.0000122531319E+00
+3.5020000E-06,+112.2291197862E-03,+1.0000122531319E+00
+3.5025000E-06,+128.0606218133E-03,+1.0000122531319E+00
+3.5030000E-06,+144.1677205875E-03,+1.0000122531319E+00
+3.5035000E-06,+161.6528030972E-03,+1.0000122531319E+00
+3.5040000E-06,+177.7599018714E-03,+1.0000122531319E+00
+3.5045000E-06,+194.3263285575E-03,+1.0000122531319E+00
+3.5050000E-06,+211.1683519906E-03,+1.0000122531319E+00
+3.5055000E-06,+228.0716191453E-03,+1.0000122531319E+00
+3.5060000E-06,+245.1586174647E-03,+1.0000122531319E+00
+3.5065000E-06,+261.2657162389E-03,+1.0000122531319E+00
+3.5070000E-06,+277.4953024563E-03,+1.0000122531319E+00
+3.5075000E-06,+294.0617291423E-03,+1.0000122531319E+00
+3.5080000E-06,+310.4138028029E-03,+1.0000122531319E+00
+3.5085000E-06,+328.1438601988E-03,+1.0000122531319E+00
+3.5090000E-06,+345.0777492143E-03,+1.0000122531319E+00
+3.5095000E-06,+361.0623605454E-03,+1.0000122531319E+00
+3.5100000E-06,+378.6393086374E-03,+1.0000122531319E+00
+3.5105000E-06,+393.8583734488E-03,+1.0000122531319E+00
+3.5110000E-06,+408.9549508170E-03,+1.0000122531319E+00
+3.5115000E-06,+426.1950584404E-03,+1.0000122531319E+00
+3.5120000E-06,+442.2409134930E-03,+1.0000122531319E+00
+3.5125000E-06,+458.5011215712E-03,+1.0000122531319E+00
+3.5130000E-06,+473.5058333571E-03,+1.0000122531319E+00
+3.5135000E-06,+488.3268139782E-03,+1.0000122531319E+00
+3.5140000E-06,+504.6176439171E-03,+1.0000122531319E+00
+3.5145000E-06,+519.8979524501E-03,+1.0000122531319E+00
+3.5150000E-06,+534.3208488810E-03,+1.0000122531319E+00
+3.5155000E-06,+550.2748383513E-03,+1.0000122531319E+00
+3.5160000E-06,+566.7187775942E-03,+1.0000122531319E+00
+3.5165000E-06,+581.9378424056E-03,+1.0000122531319E+00
+3.5170000E-06,+596.5750918620E-03,+1.0000122531319E+00
+3.5175000E-06,+610.9061227106E-03,+1.0000122531319E+00
+3.5180000E-06,+626.3701624082E-03,+1.0000122531319E+00
+3.5185000E-06,+640.7624369784E-03,+1.0000122531319E+00
+3.5190000E-06,+654.5116524719E-03,+1.0000122531319E+00
