x-axis,1,F1
second,Volt,
+3.1900000E-06,+154.5427119127E-03,+1.0000122531319E+00
+3.1907000E-06,+152.8281390667E-03,+1.0000122531319E+00
+3.1914000E-06,+150.3216064302E-03,+1.0000122531319E+00
+3.1921000E-06,+149.4462295552E-03,+1.0000122531319E+00
+3.1928000E-06,+147.4482396268E-03,+1.0000122531319E+00
+3.1935000E-06,+146.2663300918E-03,+1.0000122531319E+00
+3.1942000E-06,+144.0291441861E-03,+1.0000122531319E+00
+3.1949000E-06,+142.2170839040E-03,+1.0000122531319E+00
+3.1956000E-06,+139.9326618179E-03,+1.0000122531319E+00
+3.1963000E-06,+138.0301492754E-03,+1.0000122531319E+00
+3.1970000E-06,+136.5728628589E-03,+1.0000122531319E+00
+3.1977000E-06,+134.2211040901E-03,+1.0000122531319E+00
+3.1984000E-06,+132.5356769725E-03,+1.0000122531319E+00
+3.1991000E-06,+130.3778880509E-03,+1.0000122531319E+00
+3.1998000E-06,+129.4864307740E-03,+1.0000122531319E+00
+3.2005000E-06,+126.6884408542E-03,+1.0000122531319E+00
+3.2012000E-06,+125.1788931317E-03,+1.0000122531319E+00
+3.2019000E-06,+122.3889434128E-03,+1.0000122531319E+00
+3.2026000E-06,+120.9447223228E-03,+1.0000122531319E+00
+3.2033000E-06,+118.3437173255E-03,+1.0000122531319E+00
+3.2040000E-06,+117.4522600486E-03,+1.0000122531319E+00
+3.2047000E-06,+115.0351746474E-03,+1.0000122531319E+00
+3.2054000E-06,+112.5135666342E-03,+1.0000122531319E+00
+3.2061000E-06,+110.7718581101E-03,+1.0000122531319E+00
+3.2068000E-06,+109.0633154148E-03,+1.0000122531319E+00
+3.2075000E-06,+105.9045214788E-03,+1.0000122531319E+00
+3.2082000E-06,+104.2271345621E-03,+1.0000122531319E+00
+3.2089000E-06,+102.2603004123E-03,+1.0000122531319E+00
+3.2096000E-06,+100.1728632488E-03,+1.0000122531319E+00
+3.2103000E-06,+98.3959788457E-03,+1.0000122531319E+00
