x-axis,1,F1
second,Volt,
+3.6810000E-06,+393.6984686163E-03,+1.0000122531319E+00
+3.6815000E-06,+400.4361609122E-03,+1.0000122531319E+00
+3.6820000E-06,+407.9034778863E-03,+1.0000122531319E+00
+3.6825000E-06,+414.1712424234E-03,+1.0000122531319E+00
+3.6830000E-06,+421.0016836191E-03,+1.0000122531319E+00
+3.6835000E-06,+427.5188396423E-03,+1.0000122531319E+00
+3.6840000E-06,+435.2767698356E-03,+1.0000122531319E+00
+3.6845000E-06,+441.3054483200E-03,+1.0000122531319E+00
+3.6850000E-06,+447.8473373831E-03,+1.0000122531319E+00
+3.6855000E-06,+454.7231224853E-03,+1.0000122531319E+00
+3.6860000E-06,+460.8569163895E-03,+1.0000122531319E+00
+3.6865000E-06,+466.5681875281E-03,+1.0000122531319E+00
+3.6870000E-06,+472.0712889138E-03,+1.0000122531319E+00
+3.6875000E-06,+476.8777430081E-03,+1.0000122531319E+00
+3.6880000E-06,+482.8981771459E-03,+1.0000122531319E+00
+3.6885000E-06,+487.9251675129E-03,+1.0000122531319E+00
+3.6890000E-06,+492.0576462689E-03,+1.0000122531319E+00
+3.6895000E-06,+496.8290618899E-03,+1.0000122531319E+00
+3.6900000E-06,+502.9566725341E-03,+1.0000122531319E+00
+3.6905000E-06,+506.6151013579E-03,+1.0000122531319E+00
+3.6910000E-06,+510.5517768811E-03,+1.0000122531319E+00
+3.6915000E-06,+513.7629498995E-03,+1.0000122531319E+00
+3.6920000E-06,+518.6765805001E-03,+1.0000122531319E+00
+3.6925000E-06,+521.5208800928E-03,+1.0000122531319E+00
+3.6930000E-06,+524.6372431247E-03,+1.0000122531319E+00
+3.6935000E-06,+527.5083368440E-03,+1.0000122531319E+00
+3.6940000E-06,+530.2330934103E-03,+1.0000122531319E+00
+3.6945000E-06,+532.9660943232E-03,+1.0000122531319E+00
+3.6950000E-06,+535.8062717425E-03,+1.0000122531319E+00
+3.6955000E-06,+538.1229331499E-03,+1.0000122531319E+00
+3.6960000E-06,+541.0661649023E-03,+1.0000122531319E+00
+3.6965000E-06,+543.2571000233E-03,+1.0000122531319E+00
+3.6970000E-06,+544.4978741934E-03,+1.0000122531319E+00
+3.6975000E-06,+545.9633068096E-03,+1.0000122531319E+00
+3.6980000E-06,+548.1398143240E-03,+1.0000122531319E+00
+3.6985000E-06,+548.4881379698E-03,+1.0000122531319E+00
+3.6990000E-06,+550.0236475325E-03,+1.0000122531319E+00
+3.6995000E-06,+551.0480076032E-03,+1.0000122531319E+00
+3.7000000E-06,+552.7669538787E-03,+1.0000122531319E+00
+3.7005000E-06,+552.6020669458E-03,+1.0000122531319E+00
+3.7010000E-06,+552.9277186383E-03,+1.0000122531319E+00
