x-axis,1,F1
second,Volt,
+1.795000E-06,,
+1.797100E-06,,
+1.799200E-06,-785.086235310E-03,+1.000012253132E+00
+1.801300E-06,-774.878320847E-03,+1.000012253132E+00
+1.803400E-06,-767.647793286E-03,+1.000012253132E+00
+1.805500E-06,-758.531712981E-03,+1.000012253132E+00
+1.807600E-06,-752.930833645E-03,+1.000012253132E+00
+1.809700E-06,-744.179200572E-03,+1.000012253132E+00
+1.811800E-06,-738.713245857E-03,+1.000012253132E+00
+1.813900E-06,-728.631964558E-03,+1.000012253132E+00
+1.816000E-06,-720.799929466E-03,+1.000012253132E+00
+1.818100E-06,-713.336110450E-03,+1.000012253132E+00
+1.820200E-06,-706.133849221E-03,+1.000012253132E+00
+1.822300E-06,-696.603196057E-03,+1.000012253132E+00
+1.824400E-06,-690.174678538E-03,+1.000012253132E+00
+1.826500E-06,-682.173045458E-03,+1.000012253132E+00
+1.828600E-06,-675.238749049E-03,+1.000012253132E+00
+1.830700E-06,-666.885482807E-03,+1.000012253132E+00
+1.832800E-06,-657.282090950E-03,+1.000012253132E+00
+1.834900E-06,-650.269402583E-03,+1.000012253132E+00
+1.837000E-06,-643.602694112E-03,+1.000012253132E+00
+1.839100E-06,-637.525055986E-03,+1.000012253132E+00
+1.841200E-06,-628.968272158E-03,+1.000012253132E+00
+1.843300E-06,-619.362995879E-03,+1.000012253132E+00
+1.845400E-06,-610.806212051E-03,+1.000012253132E+00
+1.847500E-06,-604.414252321E-03,+1.000012253132E+00
+1.849600E-06,-593.765383088E-03,+1.000012253132E+00
+1.851700E-06,-587.976061542E-03,+1.000012253132E+00
+1.853800E-06,-578.868272695E-03,+1.000012253132E+00
+1.855900E-06,-569.902946158E-03,+1.000012253132E+00
+1.858000E-06,-562.438750258E-03,+1.000012253132E+00
+1.860100E-06,-553.407092063E-03,+1.000012253132E+00
+1.862200E-06,-545.273549436E-03,+1.000012253132E+00
+1.864300E-06,-537.224805804E-03,+1.000012253132E+00
+1.866400E-06,-528.905459159E-03,+1.000012253132E+00
+1.868500E-06,-519.475811019E-03,+1.000012253132E+00
+1.870600E-06,-512.242645268E-03,+1.000012253132E+00
+1.872700E-06,-503.434102648E-03,+1.000012253132E+00
+1.874800E-06,-495.070283642E-03,+1.000012253132E+00
+1.876900E-06,-488.310861604E-03,+1.000012253132E+00
+1.879000E-06,-479.463876774E-03,+1.000012253132E+00
+1.881100E-06,-470.258851747E-03,+1.000012253132E+00
+1.883200E-06,-462.154706106E-03,+1.000012253132E+00
+1.885300E-06,-452.409228823E-03,+1.000012253132E+00
+1.887400E-06,-445.335108296E-03,+1.000012253132E+00
+1.889500E-06,-437.019153611E-03,+1.000012253132E+00
+1.891600E-06,-429.603952685E-03,+1.000012253132E+00
+1.893700E-06,-421.150058303E-03,+1.000012253132E+00
+1.895800E-06,-409.999179026E-03,+1.000012253132E+00
+1.897900E-06,-402.231591169E-03,+1.000012253132E+00
+1.900000E-06,-394.715762104E-03,+1.000012253132E+00
+1.902100E-06,-384.753576281E-03,+1.000012253132E+00
+1.904200E-06,-375.988375370E-03,+1.000012253132E+00
+1.906300E-06,-368.212119172E-03,+1.000012253132E+00
+1.908400E-06,-356.893903213E-03,+1.000012253132E+00
+1.910500E-06,-348.355209837E-03,+1.000012253132E+00
+1.912600E-06,-339.532722494E-03,+1.000012253132E+00
+1.914700E-06,-332.083601971E-03,+1.000012253132E+00
+1.916800E-06,-323.000310611E-03,+1.000012253132E+00
+1.918900E-06,-315.095159942E-03,+1.000012253132E+00
+1.921000E-06,-305.575059541E-03,+1.000012253132E+00
+1.923100E-06,-297.469406362E-03,+1.000012253132E+00
+1.925200E-06,-288.695160225E-03,+1.000012253132E+00
+1.927300E-06,-279.856089968E-03,+1.000012253132E+00
+1.929400E-06,-269.164255911E-03,+1.000012253132E+00
+1.931500E-06,-259.212622852E-03,+1.000012253132E+00
+1.933600E-06,-251.030462136E-03,+1.000012253132E+00
+1.935700E-06,-244.090135577E-03,+1.000012253132E+00
+1.937800E-06,-235.319658284E-03,+1.000012253132E+00
+1.939900E-06,-226.382598078E-03,+1.000012253132E+00
+1.942000E-06,-217.255965010E-03,+1.000012253132E+00
+1.944100E-06,-207.055588235E-03,+1.000012253132E+00
+1.946200E-06,-199.861241578E-03,+1.000012253132E+00
+1.948300E-06,-190.243528113E-03,+1.000012253132E+00
+1.950400E-06,-183.669533209E-03,+1.000012253132E+00
+1.952500E-06,-173.230211713E-03,+1.000012253132E+00
+1.954600E-06,-163.137623881E-03,+1.000012253132E+00
+1.956700E-06,-155.492523460E-03,+1.000012253132E+00
+1.958800E-06,-145.840136629E-03,+1.000012253132E+00
+1.960900E-06,-136.210739747E-03,+1.000012253132E+00
+1.963000E-06,-128.388503650E-03,+1.000012253132E+00
+1.965100E-06,-119.329332893E-03,+1.000012253132E+00
+1.967200E-06,-108.937121949E-03,+1.000012253132E+00
+1.969300E-06,-100.015514004E-03,+1.000012253132E+00
+1.971400E-06,-93.299433674E-03,+1.000012253132E+00
+1.973500E-06,-81.922423746E-03,+1.000012253132E+00
+1.975600E-06,-76.270665012E-03,+1.000012253132E+00
+1.977700E-06,-65.167650056E-03,+1.000012253132E+00
+1.979800E-06,-58.451946610E-03,+1.000012253132E+00
+1.981900E-06,-48.511996968E-03,+1.000012253132E+00
+1.984000E-06,-37.941896579E-03,+1.000012253132E+00
+1.986100E-06,-30.070288623E-03,+1.000012253132E+00
+1.988200E-06,-22.324183178E-03,+1.000012253132E+00
+1.990300E-06,-11.807600376E-03,+1.000012253132E+00
+1.992400E-06,-4.401067792E-03,+1.000012253132E+00
+1.994500E-06,+5.384736123E-03,+1.000012253132E+00
+1.996600E-06,+15.160364159E-03,+1.000012253132E+00
+1.998700E-06,+23.010112819E-03,+1.000012253132E+00
+2.000800E-06,+32.668906685E-03,+1.000012253132E+00
+2.002900E-06,+39.682725706E-03,+1.000012253132E+00
+2.005000E-06,+47.887876372E-03,+1.000012253132E+00
+2.007100E-06,+59.847926495E-03,+1.000012253132E+00
+2.009200E-06,+66.859107324E-03,+1.000012253132E+00
+2.011300E-06,+74.336871063E-03,+1.000012253132E+00
+2.013400E-06,+84.721544319E-03,+1.000012253132E+00
+2.015500E-06,+91.568780426E-03,+1.000012253132E+00
+2.017600E-06,+102.999307942E-03,+1.000012253132E+00
+2.019700E-06,+111.857976189E-03,+1.000012253132E+00
+2.021800E-06,+120.403453484E-03,+1.000012253132E+00
+2.023900E-06,+128.064759935E-03,+1.000012253132E+00
+2.026000E-06,+139.212624137E-03,+1.000012253132E+00
+2.028100E-06,+145.632473315E-03,+1.000012253132E+00
+2.030200E-06,+156.222925462E-03,+1.000012253132E+00
+2.032300E-06,+163.524684178E-03,+1.000012253132E+00
+2.034400E-06,+172.430086093E-03,+1.000012253132E+00
+2.036500E-06,+181.938126192E-03,+1.000012253132E+00
+2.038600E-06,+191.921794427E-03,+1.000012253132E+00
+2.040700E-06,+201.450940053E-03,+1.000012253132E+00
+2.042800E-06,+210.130211317E-03,+1.000012253132E+00
+2.044900E-06,+217.852949928E-03,+1.000012253132E+00
+2.047000E-06,+225.634105624E-03,+1.000012253132E+00
+2.049100E-06,+237.081216054E-03,+1.000012253132E+00
+2.051200E-06,+245.224180791E-03,+1.000012253132E+00
+2.053300E-06,+254.550939485E-03,+1.000012253132E+00
+2.055400E-06,+261.564004736E-03,+1.000012253132E+00
+2.057500E-06,+269.938753390E-03,+1.000012253132E+00
+2.059600E-06,+280.004582428E-03,+1.000012253132E+00
+2.061700E-06,+288.010361237E-03,+1.000012253132E+00
