x-axis,1,F1
second,Volt,
+3.5010000E-06,,
+3.5015000E-06,-210.3224230864E-03,+1.0000122531319E+00
+3.5020000E-06,-216.2362699510E-03,+1.0000122531319E+00
+3.5025000E-06,-227.1453078565E-03,+1.0000122531319E+00
+3.5030000E-06,-236.2706223712E-03,+1.0000122531319E+00
+3.5035000E-06,-244.4466592014E-03,+1.0000122531319E+00
+3.5040000E-06,-252.3432715520E-03,+1.0000122531319E+00
+3.5045000E-06,-262.6513554396E-03,+1.0000122531319E+00
+3.5050000E-06,-268.9096982381E-03,+1.0000122531319E+00
+3.5055000E-06,-278.8426643310E-03,+1.0000122531319E+00
+3.5060000E-06,-286.1191840006E-03,+1.0000122531319E+00
+3.5065000E-06,-292.5995352898E-03,+1.0000122531319E+00
+3.5070000E-06,-303.3095311002E-03,+1.0000122531319E+00
+3.5075000E-06,-311.0492064143E-03,+1.0000122531319E+00
+3.5080000E-06,-317.5410409012E-03,+1.0000122531319E+00
+3.5085000E-06,-327.4625237964E-03,+1.0000122531319E+00
+3.5090000E-06,-333.8510095031E-03,+1.0000122531319E+00
+3.5095000E-06,-342.2605380219E-03,+1.0000122531319E+00
+3.5100000E-06,-349.2308390837E-03,+1.0000122531319E+00
+3.5105000E-06,-357.8700315583E-03,+1.0000122531319E+00
+3.5110000E-06,-366.4556357766E-03,+1.0000122531319E+00
+3.5115000E-06,-373.3264157908E-03,+1.0000122531319E+00
+3.5120000E-06,-379.7570065562E-03,+1.0000122531319E+00
+3.5125000E-06,-390.3445149235E-03,+1.0000122531319E+00
+3.5130000E-06,-394.6928191553E-03,+1.0000122531319E+00
+3.5135000E-06,-403.4468436079E-03,+1.0000122531319E+00
+3.5140000E-06,-409.3338963443E-03,+1.0000122531319E+00
+3.5145000E-06,-414.6276505279E-03,+1.0000122531319E+00
+3.5150000E-06,-422.9414857318E-03,+1.0000122531319E+00
+3.5155000E-06,-429.2227949258E-03,+1.0000122531319E+00
+3.5160000E-06,-436.1663018593E-03,+1.0000122531319E+00
+3.5165000E-06,-445.0504692203E-03,+1.0000122531319E+00
+3.5170000E-06,-450.4360889863E-03,+1.0000122531319E+00
+3.5175000E-06,-457.4102177807E-03,+1.0000122531319E+00
+3.5180000E-06,-461.6819673605E-03,+1.0000122531319E+00
+3.5185000E-06,-468.4034658034E-03,+1.0000122531319E+00
+3.5190000E-06,-473.9575058037E-03,+1.0000122531319E+00
+3.5195000E-06,-479.2014994636E-03,+1.0000122531319E+00
+3.5200000E-06,-484.3459720759E-03,+1.0000122531319E+00
+3.5205000E-06,-492.7555005947E-03,+1.0000122531319E+00
+3.5210000E-06,-495.3009427726E-03,+1.0000122531319E+00
+3.5215000E-06,-502.0147857503E-03,+1.0000122531319E+00
+3.5220000E-06,-508.1812629664E-03,+1.0000122531319E+00
+3.5225000E-06,-511.5841172463E-03,+1.0000122531319E+00
+3.5230000E-06,-518.9295361028E-03,+1.0000122531319E+00
+3.5235000E-06,-522.6462644559E-03,+1.0000122531319E+00
+3.5240000E-06,-527.8787749179E-03,+1.0000122531319E+00
+3.5245000E-06,-532.5715750836E-03,+1.0000122531319E+00
+3.5250000E-06,-536.8394969309E-03,+1.0000122531319E+00
+3.5255000E-06,-539.9744099290E-03,+1.0000122531319E+00
+3.5260000E-06,-544.3801301498E-03,+1.0000122531319E+00
+3.5265000E-06,-551.1858387099E-03,+1.0000122531319E+00
+3.5270000E-06,-553.4977891993E-03,+1.0000122531319E+00
+3.5275000E-06,-555.7025631760E-03,+1.0000122531319E+00
+3.5280000E-06,-559.8326866497E-03,+1.0000122531319E+00
+3.5285000E-06,-565.0384029836E-03,+1.0000122531319E+00
+3.5290000E-06,-566.8336095722E-03,+1.0000122531319E+00
+3.5295000E-06,-572.3608554444E-03,+1.0000122531319E+00
+3.5300000E-06,-574.4775915713E-03,+1.0000122531319E+00
+3.5305000E-06,-577.1914539836E-03,+1.0000122531319E+00
+3.5310000E-06,-581.0077033843E-03,+1.0000122531319E+00
+3.5315000E-06,-583.3541034671E-03,+1.0000122531319E+00
+3.5320000E-06,-586.8603065273E-03,+1.0000122531319E+00
+3.5325000E-06,-589.6239294634E-03,+1.0000122531319E+00
+3.5330000E-06,-591.7100437295E-03,+1.0000122531319E+00
+3.5335000E-06,-595.3310787677E-03,+1.0000122531319E+00
+3.5340000E-06,-593.8803681128E-03,+1.0000122531319E+00
+3.5345000E-06,-597.1875290779E-03,+1.0000122531319E+00
+3.5350000E-06,-598.5999624067E-03,+1.0000122531319E+00
+3.5355000E-06,-599.2545046810E-03,+1.0000122531319E+00
+3.5360000E-06,-601.5511442401E-03,+1.0000122531319E+00
+3.5365000E-06,-604.9425153224E-03,+1.0000122531319E+00
+3.5370000E-06,-604.2803175828E-03,+1.0000122531319E+00
+3.5375000E-06,-606.5195411529E-03,+1.0000122531319E+00
+3.5380000E-06,-608.1042224487E-03,+1.0000122531319E+00
+3.5385000E-06,-606.2133225450E-03,+1.0000122531319E+00
+3.5390000E-06,-608.8353193750E-03,+1.0000122531319E+00
+3.5395000E-06,-608.5558948953E-03,+1.0000122531319E+00
+3.5400000E-06,-608.7166596644E-03,+1.0000122531319E+00
+3.5405000E-06,-609.3712019388E-03,+1.0000122531319E+00
+3.5410000E-06,-608.8659412358E-03,+1.0000122531319E+00
+3.5415000E-06,-608.9195294922E-03,+1.0000122531319E+00
+3.5420000E-06,-607.2889154051E-03,+1.0000122531319E+00
+3.5425000E-06,-609.4362733930E-03,+1.0000122531319E+00
