x-axis,1,2
second,Volt,Volt
+10.20000E-03,-2.94407037E+00,-10.07726139E+00
+10.25000E-03,-2.94407037E+00,-10.07726139E+00
+10.30000E-03,-3.34608042E+00,-10.07726139E+00
+10.35000E-03,-3.74809048E+00,-10.47927144E+00
+10.40000E-03,-3.79634192E+00,-10.47927144E+00
+10.45000E-03,-4.15010053E+00,-10.88128150E+00
+10.50000E-03,-4.55211058E+00,-10.88128150E+00
+10.55000E-03,-4.95412064E+00,-11.28329155E+00
+10.60000E-03,-4.95412064E+00,-11.28329155E+00
+10.65000E-03,-5.48479464E+00,-11.28329155E+00
+10.70000E-03,-5.75814074E+00,-11.68530160E+00
+10.75000E-03,-6.16015080E+00,-11.68530160E+00
+10.80000E-03,-6.46565141E+00,-11.68530160E+00
+10.85000E-03,-6.56216085E+00,-12.03909958E+00
+10.90000E-03,-7.17324736E+00,-12.08731166E+00
+10.95000E-03,-7.36618096E+00,-12.08731166E+00
+11.00000E-03,-7.76819101E+00,-12.08731166E+00
+11.05000E-03,-8.17020106E+00,-12.48932171E+00
+11.10000E-03,-8.17020106E+00,-12.48932171E+00
+11.15000E-03,-8.57221112E+00,-12.48932171E+00
+11.20000E-03,-8.97422117E+00,-12.48932171E+00
+11.25000E-03,-8.97422117E+00,-12.89128584E+00
+11.30000E-03,-9.37623122E+00,-12.63399730E+00
+11.35000E-03,-9.48884416E+00,-12.77871882E+00
+11.40000E-03,-9.74613270E+00,-12.89133176E+00
+11.45000E-03,-9.55306132E+00,-12.71450166E+00
+11.50000E-03,-10.09979290E+00,-12.48932171E+00
+11.55000E-03,-10.18025133E+00,-12.48932171E+00
+11.60000E-03,-10.37327678E+00,-12.48932171E+00
+11.65000E-03,-10.58226138E+00,-12.89133176E+00
+11.70000E-03,-10.98427144E+00,-12.89133176E+00
+11.75000E-03,-11.38628149E+00,-13.13247087E+00
+11.80000E-03,-11.38628149E+00,-12.90748118E+00
+11.85000E-03,-12.19030160E+00,-13.16476972E+00
+11.90000E-03,-12.19030160E+00,-13.29334182E+00
+11.95000E-03,-12.97831662E+00,-13.29334182E+00
+12.00000E-03,-12.83359510E+00,-13.53462527E+00
+12.05000E-03,-13.29976983E+00,-13.38990375E+00
+12.10000E-03,-13.39633176E+00,-13.69535187E+00
+12.15000E-03,-13.79834181E+00,-13.69535187E+00
+12.20000E-03,-13.79834181E+00,-13.69535187E+00
+12.25000E-03,-14.20035186E+00,-13.69535187E+00
+12.30000E-03,-14.20035186E+00,-13.51837743E+00
+12.35000E-03,-14.57010900E+00,-13.69535187E+00
